意见反馈留言板	意見反饋留言【板】
行百里者半九十	行百【里】者半九十
煤炭可持续发展	煤炭可持續【發】展
什么时候回学校	什麼時候【回】學校
香巴拉并不遥远	香巴拉【並】不遙遠
人类胚胎干细胞	人類胚胎【幹】細胞
我死了你怎么办	我死【了】你怎麼辦
暗香浮动月黄昏	【暗】香浮動月黃昏
为有牺牲多壮志	爲有犧牲多壯【志】
可能发生的事情	可能【發】生的事情
才是真正的爱情	【才】是真正的愛情
不打无准备之仗	不打無【準】備之仗
哈萨克斯坦总统	哈薩【克】斯坦總統
投资者密切关注	投資者密切關【注】
白日放歌须纵酒	白日放歌【須】縱酒
有点不好意思了	有點不好意思【了】
只剩下我一个人	【只】剩下我一個人
银烛秋光冷画屏	銀燭【秋】光冷畫屏
守得云开见月明	守得【雲】開見月明
专稿转载请注明	專稿轉載請【注】明
命里有时终须有	命【里】有時終【須】有
两国关系发展的	兩國關【係】【發】展的
你已经不能控制	你已經不能控【制】
好久没有见你了	好久沒有見你【了】
出淤泥而不染的	【出】淤泥而不染的
春风送暖入屠苏	春風送暖入屠【蘇】
在伊拉克战争中	在伊拉【克】戰爭中
氧氟沙星注射液	氧氟沙星【注】射液
天长地久有时尽	天長地久有時【盡】
的大部分时间里	的大部分時間【里】
春宵一刻值千金	春宵一刻值【千】金
天然气出厂价格	天然氣【出】廠價格
孤帆远影碧空尽	孤帆遠影碧空【盡】
在这个物欲横流	在這個物【欲】橫流
置之死地而后快	置之死地而【後】快
小灵通彩铃下载	小靈通【彩】鈴下載
一哭二闹三上吊	一哭二鬧三上【吊】
自己的幸福生活	自己的【幸】福生活
远程数据库访问	遠程數【據】庫訪問
山穷水尽疑无路	山窮水【盡】疑無路
全员劳动合同制	全員勞動合【同】【制】
顾不了那么多了	顧不【了】那麼多【了】
拣尽寒枝不肯栖	揀【盡】寒枝不肯棲
出现了越来越多	【出】現【了】越來越多
技术含量都没有	技【術】含量都沒有
万古云霄一羽毛	【萬】古【雲】霄一羽毛
师夷长技以制夷	師夷長技以【制】夷
赢得生前身后名	贏得生前身【後】名
什么时候回去的	什麼時候【回】去的
胚胎干细胞研究	胚胎【幹】細胞研究
寥廓江天万里霜	寥廓江天【萬】【里】霜
据台湾东森新闻	【據】【臺】灣東森新聞
死要面子活受罪	死要【面】子活受罪
收拾得干干净净	收拾得【幹】【幹】凈凈
控制不了自己的	控【制】不【了】自己的
两岸关系的发展	兩岸關【係】的【發】展
我们第一次见面	我們第一次見【面】
再也没有出现过	再也沒有【出】現過
不知道说什么了	不知道說什麼【了】
只是个时间问题	【只】是個時間問題
计算机硬件系统	計算機硬件【係】統
柔肠一寸愁千缕	柔腸一寸愁【千】縷
大水冲了龙王庙	大水【衝】【了】龍王廟
什么时候回家啊	什麼時候【回】家啊
专利和技术转让	專利和技【術】轉讓
欲与天公试比高	【欲】與天公試比高
是不可能发生的	是不可能【發】生的
复制到当前位置	【復】【制】到【當】前位置
好心当成驴肝肺	好心【當】成驢肝肺
点点滴滴的回忆	點點滴滴的【回】憶
反对伊拉克战争	反對伊拉【克】戰爭
浪子回头金不换	浪子【回】頭金不換
寂寞空庭春欲晚	寂寞空庭春【欲】晚
迎来了新的一年	迎來【了】新的一年
非常困难的事情	非常【困】難的事情
计划没有变化快	計【劃】沒有變化快
没有足够的证据	沒有足夠的證【據】
更能消几番风雨	更能消【幾】番風雨
就一发不可收拾	就一【發】不可收拾
克里斯蒂拍卖行	【克】【里】斯蒂拍賣行
我的心里好难受	我的心【里】好難受
复合硅酸盐水泥	【復】合硅酸鹽水泥
少年壮志不言愁	少年壯【志】不言愁
美国白宫发言人	美國白宮【發】言人
小组赛最后一场	小組賽最【後】一場
五彩缤纷的世界	五【彩】繽紛的世界
同一条起跑线上	【同】一條起跑線上
明白发生了什么	明白【發】生【了】什麼
路上行人欲断魂	路上行人【欲】斷魂
醉里吴音相媚好	醉【里】吳音相媚好
题破山寺后禅院	題破山寺【後】禪院
伊拉克临时政府	伊拉【克】臨時政府
小心驶得万年船	小心駛得【萬】年船
发现自己越来越	【發】現自己越來越
社会集团购买力	社會集【團】購買力
高等学校艺术类	高等學校藝【術】類
窗含西岭千秋雪	窗含西嶺【千】【秋】雪
最终还是离开了	最終還是離開【了】
总参谋长梁光烈	總【參】謀長【樑】光烈
你会不会舍不得	你會不會【舍】不得
网络游戏市场的	網絡【遊】戲市場的
经历了风风雨雨	經【歷】【了】風風雨雨
呼儿将出换美酒	呼兒將【出】換美酒
增加发展中国家	增加【發】展中國家
中国铁路文工团	中國鐵路文工【團】
在我心里的地位	在我心【里】的地位
鄂温克族自治旗	鄂溫【克】族自治旗
几乎在同一时间	【幾】乎在【同】一時間
家庭承包责任制	家庭承包責任【制】
哈萨克斯坦石油	哈薩【克】斯坦石油
少小离家老大回	少小離家老大【回】
我都不好意思了	我都不好意思【了】
相差十万八千里	相差十【萬】八【千】【里】
公布的游戏画面	公【佈】的【遊】戲畫【面】
发展到什么程度	【發】展到什麼程度
纤维蛋白溶解酶	【纖】維蛋白溶解酶
伊拉克特别法庭	伊拉【克】特【別】法庭
发生了很多事情	【發】生【了】很多事情
她现在怎么样了	她現在怎麼樣【了】
粪土当年万户侯	糞土【當】年【萬】戶侯
不是同一个世界	不是【同】一個世界
你不相信就算了	你不相信就算【了】
涡轮喷气发动机	渦輪噴氣【發】動機
负责人昨天表示	負責人昨天【表】示
伊拉克战争以来	伊拉【克】戰爭以來
回首往事的时候	【回】首往事的時候
胰蛋白酶抑制剂	胰蛋白酶抑【制】劑
的生命只有一次	的生命【只】有一次
移动到当前位置	移動到【當】前位置
考生在填报志愿	考生在填報【志】願
我实在忍不住了	我實在忍不住【了】
钟鼓馔玉不足贵	【鍾】鼓饌玉不足貴
太阳升起的时候	太陽【升】起的時候
一定会引人注目	一定會引人【注】目
的最新游戏画面	的最新【遊】戲畫【面】
不知发生了什么	不知【發】生【了】什麼
发光二极管显示	【發】光二極管顯示
外交部发言人侯	外交部【發】言人侯
一发不可收拾的	一【發】不可收拾的
怎么看不见你了	怎麼看不見你【了】
我万万没有想到	我【萬】【萬】沒有想到
远水解不了近渴	遠水解不【了】近渴
言有尽而意无穷	言有【盡】而意無窮
非公开发行股份	非公開【發】行股份
劝君更尽一杯酒	勸君更【盡】一杯酒
的时候我才发现	的時候我【才】【發】現
驻伊美军发言人	駐伊美軍【發】言人
借问酒家何处有	【借】問酒家何處有
知道外面的世界	知道外【面】的世界
一个星期过去了	一個星期過去【了】
骨形态发生蛋白	骨形態【發】生蛋白
谁动了我的琴弦	誰動【了】我的琴弦
中国国民党大陆	中國國民【黨】大陸
并不能解决问题	【並】不能解決問題
投资者积极关注	投資者積極關【注】
意大利当地时间	意大利【當】地時間
瀚海阑干百丈冰	瀚海闌【幹】百丈冰
壮志饥餐胡虏肉	壯【志】【飢】餐【胡】虜肉
夜半钟声到客船	夜半【鍾】聲到客船
胡思乱想的时候	【胡】思亂想的時候
高堂明镜悲白发	高堂明鏡悲白【發】
并不能说明什么	【並】不能說明什麼
分布式操作系统	分【佈】式操作【係】統
在伊拉克被绑架	在伊拉【克】被綁架
怎一个愁字了得	怎一個愁字【了】得
美国进出口银行	美國進【出】口銀行
不好意思打错了	不好意思打錯【了】
同时履行抗辩权	【同】時履行抗辯權
一个小时过去了	一個小時過去【了】
进一步严格控制	進一步嚴格控【制】
不是那么一回事	不是那麼一【回】事
基于规则的系统	基於規則的【係】統
经人介绍认识了	經人介紹認識【了】
好久没见你了啊	好久沒見你【了】啊
何当共剪西窗烛	何【當】共剪西窗燭
客舍青青柳色新	客【舍】青青柳色新
耿耿星河欲曙天	耿耿星河【欲】曙天
夏有凉风冬有雪	夏有涼風【冬】有雪
我们还是分手了	我們還是分手【了】
一心只读圣贤书	一心【只】讀聖賢書
一片孤城万仞山	一片孤城【萬】仞山
伯克希尔哈撒韦	伯【克】希爾哈撒韋
有一种爱经不起	有一【種】愛經不起
第九个五年计划	第九個五年計【劃】
中美关系的发展	中美關【係】的【發】展
阿波罗登月计划	阿波羅登月計【劃】
我的世界只有你	我的世界【只】有你
黄鹤一去不复返	黃鶴一去不【復】返
八十年代出生的	八十年代【出】生的
你一定要幸福呀	你一定要【幸】福呀
欲寄彩笺兼尺素	【欲】寄【彩】箋兼尺素
羌笛何须怨杨柳	羌笛何【須】怨楊柳
庭院深深深几许	庭院深深深【幾】許
药物代谢动力学	【藥】物代謝動力學
期货价格每加仑	期貨價格每加【侖】
面向对象数据库	【面】【向】對象數【據】庫
千里江陵一日还	【千】【里】江陵一日還
表现的非常明白	【表】現的非常明白
焉耆回族自治县	焉耆【回】族自治縣
太平洋建设集团	太平洋建設集【團】
据消息灵通人士	【據】消息靈通人士
复方酮康唑乳膏	【復】方酮康唑乳膏
怎样才能让自己	怎樣【才】能讓自己
简直是天壤之别	簡直是天壤之【別】
胡思乱想睡不好	【胡】思亂想睡不好
我同年同月同日	我【同】年【同】月【同】日
只识弯弓射大雕	【只】識彎弓射大【雕】
花开堪折直须折	花開堪【折】直【須】【折】
朝辞白帝彩云间	朝辭白帝【彩】【雲】間
联合新闻发布会	聯合新聞【發】【佈】會
不小心摔了一跤	不小心摔【了】一跤
稻花香里说丰年	稻花香【里】說【豐】年
重整河山待后生	重整河山待【後】生
官方网站公布了	官方網站公【佈】【了】
何事长向别时圆	何事長【向】【別】時圓
什么时候才能再	什麼時候【才】能再
摩托罗拉公司的	摩【托】羅拉公司的
便纵有千种风情	便縱有【千】【種】風情
人生能有几回搏	人生能有【幾】【回】搏
五洲震荡风雷激	五洲震【蕩】風雷激
真人面前不说假	真人【面】前不說假
一定要注意身体	一定要【注】意身體
便下襄阳向洛阳	便下襄陽【向】洛陽
自己的开始懂了	自己的開始懂【了】
几个小时的时间	【幾】個小時的時間
我已经准备好了	我已經【準】備好【了】
多少楼台烟雨中	多少樓【臺】【煙】雨中
的博鳌亚洲论坛	的博鰲亞洲論【壇】
要我怎么忘了她	要我怎麼忘【了】她
五笔爱好者论坛	五筆愛好者論【壇】
最后一次世界杯	最【後】一次世界杯
的机会都没有了	的機會都沒有【了】
渚清沙白鸟飞回	渚清沙白鳥飛【回】
哪里来的骆驼队	哪【里】來的駱駝隊
发生在当地时间	【發】生在【當】地時間
没有勇气去面对	沒有勇氣去【面】對
全党全军和全国	全【黨】全軍和全國
最后一场热身赛	最【後】一場熱身賽
电外交部发言人	電外交部【發】言人
你的世界消失了	你的世界消失【了】
发生的一些事情	【發】生的一些事情
表白死了都要爱	【表】白死【了】都要愛
万事不由人计较	【萬】事不由人計較
我突然发现自己	我突然【發】現自己
门泊东吴万里船	門泊東吳【萬】【里】船
却道天凉好个秋	卻道天涼好個【秋】
捷克和斯洛伐克	捷【克】和斯洛伐【克】
最后还是选择了	最【後】還是選擇【了】
埋骨何须桑梓地	埋骨何【須】桑梓地
马上就要结束了	馬上就要結束【了】
草色烟光残照里	草色【煙】光殘照【里】
也没什么了不起	也沒什麼【了】不起
决胜于千里之外	決勝於【千】【里】之外
答记者问时表示	答記者問時【表】示
到尽头无话可说	到【盡】頭無話可說
未完成招生计划	未完成招生計【劃】
患有精神分裂症	患有精神分裂【症】
木里藏族自治县	木【里】藏族自治縣
哈萨克斯坦境内	哈薩【克】斯坦境內
系统性能监视器	【係】統性能監視器
等闲识得东风面	等閑識得東風【面】
里面什么都没有	【里】【面】什麼都沒有
线缆调制解调器	線纜調【制】解調器
怎么也哭不出来	怎麼也哭不【出】來
不知细叶谁裁出	不知細葉誰裁【出】
一段时间就好了	一段時間就好【了】
中国的网络游戏	中國的網絡【遊】戲
日照香炉生紫烟	日照香爐生紫【煙】
你什么时候才能	你什麼時候【才】能
申银万国分析师	申銀【萬】國分析師
让你知道去哪里	讓你知道去哪【里】
科尔沁左翼后旗	科爾沁左翼【後】旗
去年天气旧亭台	去年天氣舊亭【臺】
金樽清酒斗十千	金樽清酒【鬭】十【千】
可怜光彩生门户	可憐光【彩】生門戶
欲言又止的样子	【欲】言又止的樣子
单用户操作系统	單用戶操作【係】統
你是不是生气了	你是不是生氣【了】
谁看了她的屁屁	誰看【了】她的屁屁
高速缓冲存储器	高速緩【衝】存儲器
尽信书不如无书	【盡】信書不如無書
北斗阑干南斗斜	北【鬭】闌【幹】南【鬭】斜
感动得泪流满面	感動得淚流滿【面】
万物静观皆自得	【萬】物靜觀皆自得
好了伤疤忘了痛	好【了】傷疤忘【了】痛
尽日君王看不足	【盡】日君王看不足
非公开发行股票	非公開【發】行股票
科学技术部部长	科學技【術】部部長
只是在睡不着的	【只】是在睡不著的
长于春梦几多时	長於春夢【幾】多時
在你面前流眼泪	在你【面】前流眼淚
十年修得同船渡	十年修得【同】船渡
黄河远上白云间	黃河遠上白【雲】間
新华社记者表示	新華社記者【表】示
直道相思了无益	直道相思【了】無益
用户数据报协议	用戶數【據】報協議
云雨巫山枉断肠	【雲】雨巫山枉斷腸
做好了心理准备	做好【了】心理【準】備
一人做事一人当	一人做事一人【當】
表演型人格障碍	【表】演型人格障礙
防静电活动地板	防靜電活動地【板】
吃了上顿没下顿	吃【了】上頓沒下頓
两国关系正常化	兩國關【係】正常化
无党派爱国人士	無【黨】派愛國人士
与乌兹别克斯坦	與烏茲【別】【克】斯坦
网络游戏产业的	網絡【遊】戲產業的
有计划商品经济	有計【劃】商品經濟
又过了一段时间	又過【了】一段時間
这个世界上除了	這個世界上除【了】
计算机系统审计	計算機【係】統審計
忽复乘舟梦日边	忽【復】乘舟夢日邊
水随天去秋无际	水隨天去【秋】無際
哈萨克斯坦选手	哈薩【克】斯坦選手
风光不与四时同	風光不與四時【同】
占着茅坑不拉屎	【佔】著茅坑不拉屎
托马斯·阿奎那	【托】馬斯·阿奎那
白云千载空悠悠	白【雲】【千】載空悠悠
彩云易散琉璃脆	【彩】【雲】易散琉璃脆
地面卫星接收站	地【面】衛星接收站
古来万事东流水	古來【萬】事東流水
在同一个屋檐下	在【同】一個屋檐下
今天是最后一天	今天是最【後】一天
怎么看不到你了	怎麼看不到你【了】
欲饮琵琶马上催	【欲】飲琵琶馬上催
晴川历历汉阳树	晴川【歷】【歷】漢陽樹
斜风细雨不须归	斜風細雨不【須】歸
基于特征的设计	基於特【徵】的設計
歌尽桃花扇底风	歌【盡】桃花扇底風
不知道怎么样了	不知道怎麼樣【了】
第一夫人希拉里	第一夫人希拉【里】
为庆祝香港回归	爲慶祝香港【回】歸
表达自己的心情	【表】達自己的心情
漫卷诗书喜欲狂	漫【捲】詩書喜【欲】狂
会向瑶台月下逢	會【向】瑤【臺】月下逢
美人如花隔云端	美人如花隔【雲】端
在接受电话采访	在接受電話【採】訪
兰陵美酒郁金香	蘭陵美酒【鬱】金香
一寸还成千万缕	一寸還成【千】【萬】縷
铁骑突出刀枪鸣	鐵騎突【出】刀槍鳴
不知道怎么发泄	不知道怎麼【發】泄
今天我们要走了	今天我們要走【了】
十八姑娘一朵花	十八姑【娘】一朵花
总统米洛舍维奇	總統米洛【舍】維奇
寒食东风御柳斜	寒食東風【御】柳斜
察哈尔右翼后旗	察哈爾右翼【後】旗
你今年多大了啊	你今年多大【了】啊
我们还是分开了	我們還是分開【了】
伊朗国家电视台	伊朗國家電視【臺】
烟波江上使人愁	【煙】波江上使人愁
好汉不提当年勇	好漢不提【當】年勇
觉得自己很幸运	覺得自己很【幸】運
不教胡马度阴山	不教【胡】馬度陰山
以邮戳日期为准	以郵戳日期爲【準】
物欲横流的世界	物【欲】橫流的世界
一脸遗憾的表情	一臉遺憾的【表】情
换了一个又一个	換【了】一個又一個
美国国会参议院	美國國會【參】議院
化隆回族自治县	化隆【回】族自治縣
千里莺啼绿映红	【千】【里】鶯啼綠映紅
会挽雕弓如满月	會【挽】【雕】弓如滿月
模型参考自适应	模型【參】考自適應
瞎子点灯白费蜡	瞎子點燈白費【蠟】
这几天怎么过的	這【幾】天怎麼過的
发言人发表声明	【發】言人【發】【表】聲明
多媒体数据类型	多媒體數【據】類型
规范性法律文件	規【範】性法律文件
的大型演出活动	的大型演【出】活動
巴山夜雨涨秋池	巴山夜雨漲【秋】池
三千宠爱在一身	三【千】寵愛在一身
放学回家的路上	放學【回】家的路上
万类霜天竞自由	【萬】類霜天競自由
最终还是放弃了	最終還是放棄【了】
不该发生的事情	不該【發】生的事情
只愿君心似我心	【只】願君心似我心
让别人知道自己	讓【別】人知道自己
生子当如孙仲谋	生子【當】如孫仲謀
芙蓉如面柳如眉	芙蓉如【面】柳如眉
航空母舰战斗群	航空母艦戰【鬭】群
存在死了都要爱	存在死【了】都要愛
曲安奈德注射液	【曲】安奈德【注】射液
马上就要毕业了	馬上就要畢業【了】
根据国际奥委会	根【據】國際奧委會
雕栏玉砌应犹在	【雕】欄玉砌應猶在
会须一饮三百杯	會【須】一飲三百杯
面对自己内心的	【面】對自己內心的
万里长城万里长	【萬】【里】長城【萬】【里】長
怎么现在才来啊	怎麼現在【才】來啊
关公面前耍大刀	關公【面】前耍大刀
小车不倒只管推	小車不倒【只】管推
怒发冲冠凭栏处	怒【發】【衝】冠憑欄處
我以为你生气了	我以爲你生氣【了】
外交关系委员会	外交關【係】委員會
确立了恋爱关系	確立【了】戀愛關【係】
嫦娥应悔偷灵药	嫦娥應悔偷靈【藥】
新华网布鲁塞尔	新華網【佈】魯塞爾
社会主义所有制	社會主義所有【制】
青海长云暗雪山	青海長【雲】【暗】雪山
我是一个城里人	我是一個城【里】人
在原地等你回来	在原地等你【回】來
我的心中只有你	我的心中【只】有你
发现自己爱上了	【發】現自己愛上【了】
宝马雕车香满路	寶馬【雕】車香滿路
可能再回到从前	可能再【回】到從前
病魂常似秋千索	病魂常似【秋】【千】索
数据完整性保护	數【據】完整性保護
据新华社华盛顿	【據】新華社華盛頓
什么也没发生过	什麼也沒【發】生過
此地空余黄鹤楼	此地空【餘】黃鶴樓
狗嘴吐不出象牙	狗嘴吐不【出】象牙
隔江犹唱后庭花	隔江猶唱【後】庭花
最后的话我来说	最【後】的話我來說
欲渡黄河冰塞川	【欲】渡黃河冰塞川
发言人麦克莱伦	【發】言人麥【克】萊倫
什么时候回来啊	什麼時候【回】來啊
不善于表达自己	不善於【表】達自己
经营承包责任制	經營承包責任【制】
遥看瀑布挂前川	遙看瀑【佈】掛前川
新的一天开始了	新的一天開始【了】
饱汉不知饿汉饥	飽漢不知餓漢【飢】
别让我一个人醉	【別】讓我一個人醉
脑海里挥之不去	腦海【里】揮之不去
无缘对面不相逢	無緣對【面】不相逢
网络游戏开发商	網絡【遊】戲開【發】商
看你横行到几时	看你橫行到【幾】時
忘了自己姓什么	忘【了】自己姓什麼
一曲红绡不知数	一【曲】紅綃不知數
别想太多会不会	【別】想太多會不會
万条垂下绿丝绦	【萬】條垂下綠絲絛
两万五千里长征	兩【萬】五【千】【里】長【徵】
在西班牙马德里	在西班牙馬德【里】
东方光驱魔术师	東方光驅魔【術】師
东风不与周郎便	東風不與【周】郎便
多情自古伤别离	多情自古傷【別】離
派出所投案自首	派【出】所投案自首
络纬秋啼金井阑	絡緯【秋】啼金井闌
里面什么也没有	【里】【面】什麼也沒有
答应了他的要求	答應【了】他的要求
门源回族自治县	門源【回】族自治縣
胡天八月即飞雪	【胡】天八月即飛雪
中华网军事论坛	中華網軍事論【壇】
主教练斯科拉里	主教練斯科拉【里】
根本算不了什么	根本算不【了】什麼
远水救不了近火	遠水救不【了】近火
一切都来不及了	一切都來不及【了】
我终于忍不住了	我終於忍不住【了】
但悲不见九州同	但悲不見九州【同】
山回路转不见君	山【回】路轉不見君
属于我们的回忆	屬於我們的【回】憶
老总掏出十块钱	老總掏【出】十塊錢
人血丙种球蛋白	人血丙【種】球蛋白
网络游戏爱好者	網絡【遊】戲愛好者
萝卜快了不洗泥	蘿【卜】快【了】不洗泥
千古兴亡多少事	【千】古興亡多少事
马上就要过年了	馬上就要過年【了】
晓镜但愁云鬓改	曉鏡但愁【雲】鬢改
回答我一个问题	【回】答我一個問題
欲将心事付瑶琴	【欲】將心事付瑤琴
发生了一些事情	【發】生【了】一些事情
只要和你在一起	【只】要和你在一起
夕阳西下几时回	夕陽西下【幾】時【回】
这个世界充满了	這個世界充滿【了】
有花堪折直须折	有花堪【折】直【須】【折】
网络游戏的发展	網絡【遊】戲的【發】展
全员聘用合同制	全員聘用合【同】【制】
尘埃不见咸阳桥	塵埃不見【咸】陽橋
女朋友怎么样了	女朋友怎麼樣【了】
据第一财经日报	【據】第一財經日報
公安机关报了案	公安機關報【了】案
不管发生了什么	不管【發】生【了】什麼
告诉自己不准哭	告訴自己不【準】哭
当年拚却醉颜红	【當】年拚卻醉顏紅
那一夜你喝了酒	那一夜你喝【了】酒
绝胜烟柳满皇都	絕勝【煙】柳滿皇都
杰里斯塔克豪斯	【傑】【里】斯塔【克】豪斯
新闻请点击这里	新聞請點擊這【里】
在我面前的时候	在我【面】前的時候
发生的点点滴滴	【發】生的點點滴滴
同位素地球化学	【同】位素地球化學
使人听此凋朱颜	使人聽此凋【朱】顏
回到原来的地方	【回】到原來的地方
第八个五年计划	第八個五年計【劃】
似乎已经习惯了	似乎已經習慣【了】
好不容易等到了	好不容易等到【了】
所有人都遗忘了	所有人都遺忘【了】
腹中贮书一万卷	腹中貯書一【萬】【捲】
我的心没有回程	我的心沒有【回】程
不知道怎么说了	不知道怎麼說【了】
最新的游戏画面	最新的【遊】戲畫【面】
第一次见面是在	第一次見【面】是在
你在玩什么游戏	你在玩什麼【遊】戲
不知不觉就到了	不知不覺就到【了】
墙里秋千墙外道	牆【里】【秋】【千】牆外道
答应了她的要求	答應【了】她的要求
岐王宅里寻常见	岐王宅【里】尋常見
长风万里送秋雁	長風【萬】【里】送【秋】雁
不好意思发错了	不好意思【發】錯【了】
只是你生命中的	【只】是你生命中的
马上就要放假了	馬上就要放假【了】
在这一天出生的	在這一天【出】生的
毫不犹豫的回答	毫不猶豫的【回】答
笑语盈盈暗香去	笑語盈盈【暗】香去
不撞南墙不回头	不撞南牆不【回】頭
北风卷地白草折	北風【捲】地白草【折】
墙里开花墙外香	牆【里】開花牆外香
你现在在哪里呀	你現在在哪【里】呀
水殿风来暗香满	水殿風來【暗】香滿
九重城阙烟尘生	九重城闕【煙】塵生
是什么样的一种	是什麼樣的一【種】
八国集团领导人	八國集【團】領導人
东篱把酒黄昏后	東籬把酒黃昏【後】
才是真正的男人	【才】是真正的男人
特发性肺纤维化	特【發】性肺【纖】維化
在那里做什么啊	在那【里】做什麼啊
等闲离别易销魂	等閑離【別】易銷魂
呆呆的站在那里	呆呆的站在那【里】
在一起时间长了	在一起時間長【了】
别拿无知当个性	【別】拿無知【當】個性
克里夫兰骑士队	【克】【里】夫蘭騎士隊
踏上了回家的路	踏上【了】【回】家的路
不看僧面看佛面	不看僧【面】看佛【面】
我只想让你知道	我【只】想讓你知道
千金纵买相如赋	【千】金縱買相如賦
股份合作制经济	股份合作【制】經濟
叶叶声声是别离	葉葉聲聲是【別】離
了却君王天下事	【了】卻君王天下事
未成曲调先有情	未成【曲】調先有情
丰年留客足鸡豚	【豐】年留客足雞豚
一直很安静除了	一直很安靜除【了】
淡烟流水画屏幽	淡【煙】流水畫屏幽
的大型网络游戏	的大型網絡【遊】戲
别后不知君远近	【別】【後】不知君遠近
善恶到头终有报	善【惡】到頭終有報
计算机专业词汇	計算機專業詞【匯】
世上没有后悔药	世上沒有【後】悔【藥】
千里黄云白日曛	【千】【里】黃【雲】白日曛
百年多病独登台	百年多病獨登【臺】
江城子密州出猎	江城子密州【出】獵
什么理由一万个	什麼理由一【萬】個
枪杆子里出政权	槍桿子【里】【出】政權
君王掩面救不得	君王掩【面】救不得
世上如侬有几人	世上如儂有【幾】人
六军不发无奈何	六軍不【發】無奈何
径须沽取对君酌	徑【須】沽取對君酌
我只是一个平凡	我【只】是一個平凡
塞下秋来风景异	塞下【秋】來風景異
春心莫共花争发	春心莫共花爭【發】
外交部发言人阿	外交部【發】言人阿
万里悲秋常作客	【萬】【里】悲【秋】常作客
李白乘舟将欲行	李白乘舟將【欲】行
男朋友怎么样了	男朋友怎麼樣【了】
一年一度秋风劲	一年一度【秋】風勁
薄雾浓云愁永昼	薄霧濃【雲】愁永晝
注射用阿奇霉素	【注】射用阿奇霉素
经历了许多事情	經【歷】【了】許多事情
不得不面对现实	不得不【面】對現實
斗酒十千恣欢谑	【鬭】酒十【千】恣歡謔
在铁的事实面前	在鐵的事實【面】前
好好休息一下了	好好休息一下【了】
而今识尽愁滋味	而今識【盡】愁滋味
还有没有王法了	還有沒有王法【了】
怎么也找不到了	怎麼也找不到【了】
等到一千年以后	等到一【千】年以【後】
一别音容两渺茫	一【別】音容兩渺茫
罗带同心结未成	羅帶【同】心結未成
混同于一般群众	混【同】於一般群眾
万国衣冠拜冕旒	【萬】國衣冠拜冕旒
烟笼寒水月笼沙	【煙】籠寒水月籠沙
风住尘香花已尽	風住塵香花已【盡】
恶语伤人六月寒	【惡】語傷人六月寒
欲报倾城随太守	【欲】報傾城隨太守
跟以前不一样了	跟以前不一樣【了】
如果能回到从前	如果能【回】到從前
云破月来花弄影	【雲】破月來花弄影
承担应尽的义务	承擔應【盡】的義務
拨打了报警电话	撥打【了】報警電話
只属于我一个人	【只】屬於我一個人
枸橼酸喷托维林	枸櫞酸噴【托】維林
出生的那一刻起	【出】生的那一刻起
总是当时携手处	總是【當】時攜手處
你是不是发错了	你是不是【發】錯【了】
软硬件协同设计	軟硬件協【同】設計
万顷波中得自由	【萬】頃波中得自由
你不要胡思乱想	你不要【胡】思亂想
伊拉克基地组织	伊拉【克】基地組織
面向制造的设计	【面】【向】【制】造的設計
布拉马普特拉河	【佈】拉馬普特拉河
彩袖殷勤捧玉钟	【彩】袖殷勤捧玉【鍾】
我就不打扰你了	我就不打擾你【了】
鸿飞那复计东西	鴻飛那【復】計東西
今年欢笑复明年	今年歡笑【復】明年
确定性控制系统	確定性控【制】【係】統
第一次感觉到了	第一次感覺到【了】
多情只有春庭月	多情【只】有春庭月
浪花有意千重雪	浪花有意【千】重雪
明天就要开学了	明天就要開學【了】
须行即骑访名山	【須】行即騎訪名山
麦克斯韦方程组	麥【克】斯韋方程組
表面活性剂体系	【表】【面】活性劑體【係】
你不是回家了吗	你不是【回】家【了】嗎
什么时候回去啊	什麼時候【回】去啊
永远不会再回来	永遠不會再【回】來
玛瑟里顿的巢穴	瑪瑟【里】頓的巢穴
扪参历井仰胁息	捫【參】【歷】井仰脅息
几回魂梦与君同	【幾】【回】魂夢與君【同】
厚重异种虫胸甲	厚重異【種】蟲胸甲
网络游戏行业的	網絡【遊】戲行業的
事如春梦了无痕	事如春夢【了】無痕
好心当作驴肝肺	好心【當】作驢肝肺
觉得自己长大了	覺得自己長大【了】
现在玩什么游戏	現在玩什麼【遊】戲
喜见外弟又言别	喜見外弟又言【別】
死马当作活马医	死馬【當】作活馬醫
到目前为止并在	到目前爲止【並】在
御敌于国门之外	【御】敵於國門之外
别时茫茫江浸月	【別】時茫茫江浸月
只有相思无尽处	【只】有相思無【盡】處
彩笔新题断肠句	【彩】筆新題斷腸句
维也纳交响乐团	維也納交響樂【團】
编程只读存储器	編程【只】讀存儲器
游戏客户端以及	【遊】戲客戶端以及
沃利斯泽比亚克	沃利斯澤比亞【克】
离不开你你了解	離不開你你【了】解
电子捕获检测器	電子捕【獲】檢測器
分布式计算环境	分【佈】式計算環境
伤尽我心的说话	傷【盡】我心的說話
碧野朱桥当日事	碧野【朱】橋【當】日事
长大以后现在的	長大以【後】現在的
朱雀桥边野草花	【朱】雀橋邊野草花
第一次发现自己	第一次【發】現自己
火山喷发太平洋	火山噴【發】太平洋
情疏迹远只香留	情疏跡遠【只】香留
别有幽愁暗恨生	【別】有幽愁【暗】恨生
知道自己做错了	知道自己做錯【了】
在我们的记忆里	在我們的記憶【里】
