发送电子邮件	【發】送電子郵件
我的幸福就是	我的【幸】福就是
只要相信自己	【只】要相信自己
券商借壳上市	券商【借】殼上市
开放系统互连	開放【係】統互連
联系在一起了	聯【係】在一起【了】
还没有回来吗	還沒有【回】來嗎
飞机制造公司	飛機【制】造公司
你干什么的啊	你【幹】什麼的啊
共抽查了北京	共抽查【了】北京
骗不了我自己	騙不【了】我自己
只好硬着头皮	【只】好硬著頭皮
一直以为只要	一直以爲【只】要
这么长时间了	這麼長時間【了】
在人类历史上	在人類【歷】史上
激光制导炸弹	激光【制】導炸彈
那只是一场梦	那【只】是一場夢
据国土资源部	【據】國土資源部
别让我的爱情	【別】讓我的愛情
一生只有一个	一生【只】有一個
能陪你到这里	能陪你到這【里】
证据确实充分	證【據】確實充分
万里行促进会	【萬】【里】行促進會
民事法律关系	民事法律關【係】
后悔一辈子的	【後】悔一輩子的
可是在我心里	可是在我心【里】
召回管理规定	召【回】管理規定
大会堂会见了	大會堂會見【了】
没有必然联系	沒有必然聯【係】
航天飞机发射	航天飛機【發】射
非常引人注目	非常引人【注】目
亚历山大大帝	亞【歷】山大大帝
存款基准利率	存款基【準】利率
游行示威活动	【遊】行示威活動
金属卤化物灯	金屬【滷】化物燈
获得诺贝尔奖	【獲】得諾貝爾獎
终于忍不住了	終於忍不住【了】
数字电视标准	數字電視標【準】
收到了一封信	收到【了】一封信
参加自学考试	【參】加自學考試
你给我发短信	你給我【發】短信
该怎么办才好	該怎麼辦【才】好
在哈萨克斯坦	在哈薩【克】斯坦
已经不存在了	已經不存在【了】
在这场比赛里	在這場比賽【里】
在这个平台上	在這個平【臺】上
商业同业公会	商業【同】業公會
许多事情之后	許多事情之【後】
慢慢的消失了	慢慢的消失【了】
发生了严重的	【發】生【了】嚴重的
君子和而不同	君子和而不【同】
最幸福的事情	最【幸】福的事情
当然最重要的	【當】然最重要的
党政机关干部	【黨】政機關【幹】部
一片欣欣向荣	一片欣欣【向】榮
我终于学会了	我終於學會【了】
错过了就没有	錯過【了】就沒有
外汇储备增加	外【匯】儲備增加
程度上限制了	程度上限【制】【了】
全面风险管理	全【面】風險管理
一夜之间成了	一夜之間成【了】
与众不同之处	與眾不【同】之處
现实的社会里	現實的社會【里】
由此不难看出	由此不難看【出】
同业拆借利率	【同】業拆【借】利率
因为我找到了	因爲我找到【了】
求大同存小异	求大【同】存小異
忘了你忘了我	忘【了】你忘【了】我
中国石油集团	中國石油集【團】
骄傲使人落后	驕傲使人落【後】
就是这样一种	就是這樣一【種】
多种营养成分	多【種】營養成分
布鲁塞尔举行	【佈】魯塞爾舉行
盗版音像制品	盜版音像【制】品
忘不了第一次	忘不【了】第一次
参加成人高考	【參】加成人高考
外汇市场美元	外【匯】市場美元
风险控制能力	風險控【制】能力
成绩一落千丈	成績一落【千】丈
没有别的办法	沒有【別】的辦法
抢占市场份额	搶【佔】市場份額
踩到火山喷发	踩到火山噴【發】
新闻发言人毛	新聞【發】言人毛
软件开发方法	軟件開【發】方法
有密切关系的	有密切關【係】的
效果大打折扣	效果大打【折】扣
非甾体抗炎药	非甾體抗炎【藥】
有什么不同呢	有什麼不【同】呢
酒泉卫星发射	酒泉衛星【發】射
过几天就好了	過【幾】天就好【了】
采取网上报名	【採】取網上報名
泄了气的皮球	泄【了】氣的皮球
哪里出了问题	哪【里】【出】【了】問題
中国移动彩信	中國移動【彩】信
高考填报志愿	高考填報【志】願
征收出口关税	【徵】收【出】口關稅
平平淡淡才是	平平淡淡【才】是
有一种爱只能	有一【種】愛【只】能
网络游戏作品	網絡【遊】戲作品
的希望寄托在	的希望寄【托】在
天外云卷云舒	天外【雲】【捲】【雲】舒
随时可能发生	隨時可能【發】生
驻中国代表处	駐中國代【表】處
造成这种情况	造成這【種】情況
疾病的发病率	疾病的【發】病率
回想起过去的	【回】想起過去的
售后服务方面	售【後】服務方【面】
放弃也是一种	放棄也是一【種】
我的心里永远	我的心【里】永遠
出现什么样的	【出】現什麼樣的
千万不要因为	【千】【萬】不要因爲
他向记者表示	他【向】記者【表】示
公安机关根据	公安機關根【據】
全面战略伙伴	全【面】戰略【夥】伴
第一次有这种	第一次有這【種】
是个不折不扣	是個不【折】不扣
相当大的比重	相【當】大的比重
自主神经系统	自主神經【係】統
总有一种感觉	總有一【種】感覺
经常项目外汇	經常項目外【匯】
批发价格指数	批【發】價格指數
仍然心有余悸	仍然心有【餘】悸
非洲开发银行	非洲開【發】銀行
通过调查发现	通過調查【發】現
外汇储备增长	外【匯】儲備增長
通过技术手段	通過技【術】手段
历史上有名的	【歷】史上有名的
胡锦涛主席的	【胡】錦濤主席的
没有时间限制	沒有時間限【制】
最美丽的回忆	最美麗的【回】憶
八小时工作制	八小時工作【制】
平常心去面对	平常心去【面】對
要怎么说才好	要怎麼說【才】好
将尽最大努力	將【盡】最大努力
离开我吧以后	離開我吧以【後】
奥林匹克知识	奧林匹【克】知識
出口到美国的	【出】口到美國的
人们茶余饭后	人們茶【餘】飯【後】
为了满足广大	爲【了】滿足廣大
最美好的回忆	最美好的【回】憶
报业集团授权	報業集【團】授權
原来你在这里	原來你在這【里】
以后怎么办啊	以【後】怎麼辦啊
增进相互了解	增進相互【了】解
民主党派中央	民主【黨】派中央
及其制品价格	及其【制】品價格
柏林奥林匹克	柏林奧林匹【克】
新华网内蒙古	新華網內【蒙】古
阿里巴巴收购	阿【里】巴巴收購
据上海证券报	【據】上海證券報
像一只受伤的	像一【只】受傷的
有太多的不同	有太多的不【同】
最为引人注目	最爲引人【注】目
网页模板下载	網頁模【板】下載
咸阳国际机场	【咸】陽國際機場
住房使用面积	住房使用【面】積
要有心理准备	要有心理【準】備
最后一个生日	最【後】一個生日
刚出来的时候	剛【出】來的時候
印尼苏门答腊	印尼【蘇】門答臘
令人刮目相看	令人【刮】目相看
在漫长的历史	在漫長的【歷】史
我现在没钱了	我現在沒錢【了】
大型网络游戏	大型網絡【遊】戲
国内邮发代号	國內郵【發】代號
首都布鲁塞尔	首都【佈】魯塞爾
并没有想象中	【並】沒有想象中
我就要离开了	我就要離開【了】
让你们担心了	讓你們擔心【了】
在伊拉克战争	在伊拉【克】戰爭
朽木不可雕也	朽木不可【雕】也
法兰克福汇报	法蘭【克】福【匯】報
月的最后一天	月的最【後】一天
网上填报志愿	網上填報【志】願
出现一定程度	【出】現一定程度
这里还有一个	這【里】還有一個
系统管理文件	【係】統管理文件
我们都要幸福	我們都要【幸】福
真是气死我了	真是氣死我【了】
在黄金周期间	在黃金【周】期間
规范化服务型	規【範】化服務型
的庐山真面目	的廬山真【面】目
共青团真理报	共青【團】真理報
黑恶势力犯罪	黑【惡】勢力犯罪
要自己去面对	要自己去【面】對
喜欢上了男孩	喜歡上【了】男孩
事情怎么样了	事情怎麼樣【了】
柔性制造系统	柔性【制】造【係】統
土地出让收入	土地【出】讓收入
过了好一会儿	過【了】好一會兒
中国汽车技术	中國汽車技【術】
并非一帆风顺	【並】非一帆風順
中国空间技术	中國空間技【術】
不是不想发火	不是不想【發】火
北京市药监局	北京市【藥】監局
只有他一个人	【只】有他一個人
电影分级制度	電影分級【制】度
打电话发短信	打電話【發】短信
只能寄希望于	【只】能寄希望於
在过去一年里	在過去一年【里】
受到了严重的	受到【了】嚴重的
面临的问题是	【面】臨的問題是
以同样的方式	以【同】樣的方式
烛光里的妈妈	燭光【里】的媽媽
匀速圆周运动	勻速圓【周】運動
国家外汇投资	國家外【匯】投資
沈阳市公安局	【瀋】陽市公安局
安全操作系统	安全操作【係】統
我有事要出去	我有事要【出】去
中共中央台湾	中共中央【臺】灣
可谓一波三折	可謂一波三【折】
拒绝发表评论	拒絕【發】【表】評論
大家面面相觑	大家【面】【面】相覷
恢复了往日的	恢【復】【了】往日的
所发生的事情	所【發】生的事情
还是相当不错	還是相【當】不錯
中国台湾地区	中國【臺】灣地區
坚强的去面对	堅強的去【面】對
脉冲宽度调制	脈【衝】寬度調【制】
很久没见你了	很久沒見你【了】
因为各种原因	因爲各【種】原因
游戏外挂下载	【遊】戲外掛下載
纵有千言万语	縱有【千】言【萬】語
天底下最幸福	天底下最【幸】福
没有发现什么	沒有【發】現什麼
改革开放之后	改革開放之【後】
研究人员指出	研究人員指【出】
数字控制技术	數字控【制】技【術】
逐渐恢复正常	逐漸恢【復】正常
愿意为你付出	願意爲你付【出】
另外一个方面	另外一個方【面】
想你了想你了	想你【了】想你【了】
相关数据显示	相關數【據】顯示
事件再次发生	事件再次【發】生
体坛风云人物	體【壇】風【雲】人物
做错了什么啊	做錯【了】什麼啊
是要付出代价	是要付【出】代價
小时的时间里	小時的時間【里】
软件开发环境	軟件開【發】環境
公开发行证券	公開【發】行證券
本次发行规模	本次【發】行規模
胡锦涛主席和	【胡】錦濤主席和
不是看到了吗	不是看到【了】嗎
去面对所有的	去【面】對所有的
以后会怎么样	以【後】會怎麼樣
推动两岸关系	推動兩岸關【係】
喷水灭火系统	噴水滅火【係】統
何尝不是如此	何【嘗】不是如此
注意投资风险	【注】意投資風險
能力倾向测验	能力傾【向】測驗
全面通货膨胀	全【面】通貨膨脹
鱼腥草注射液	魚腥草【注】射液
人才交流市场	人【才】交流市場
各方共同努力	各方共【同】努力
自己心里知道	自己心【里】知道
采用什么样的	【採】用什麼樣的
我心中只有你	我心中【只】有你
最后一场比赛	最【後】一場比賽
美国特种部队	美國特【種】部隊
出现不良反应	【出】現不良反應
负责人均表示	負責人均【表】示
发展科学技术	【發】展科學技【術】
库存管理系统	庫存管理【係】統
参与新股申购	【參】與新股申購
伊拉克共和国	伊拉【克】共和國
可以选择不同	可以選擇不【同】
俱乐部历史上	俱樂部【歷】史上
进行体育锻炼	進行體育鍛【煉】
聊了很长时间	聊【了】很長時間
最后一个赛季	最【後】一個賽季
最近喜欢上了	最近喜歡上【了】
外面的世界很	外【面】的世界很
在梦里见到你	在夢【里】見到你
特别引人注目	特【別】引人【注】目
几乎没有一个	【幾】乎沒有一個
据法新社报道	【據】法新社報道
和哈萨克斯坦	和哈薩【克】斯坦
进行手术治疗	進行手【術】治療
也是一种错误	也是一【種】錯誤
三国周郎赤壁	三國【周】郎赤壁
却不肯说出口	卻不肯說【出】口
朴素唯物主义	【樸】素唯物主義
这样就可以了	這樣就可以【了】
每天放学回家	每天放學【回】家
看见了没有啊	看見【了】沒有啊
遇到各种各样	遇到各【種】各樣
学科奥林匹克	學科奧林匹【克】
已经两个月了	已經兩個月【了】
专业招生计划	專業招生計【劃】
优先发展城市	優先【發】展城市
福克斯电视台	福【克】斯電視【臺】
没有血缘关系	沒有血緣關【係】
动画制作软件	動畫【制】作軟件
提出不同意见	提【出】不【同】意見
历史最好成绩	【歷】史最好成績
标准的普通话	標【準】的普通話
为什么不回答	爲什麼不【回】答
分手以后还会	分手以【後】還會
还以为你走了	還以爲你走【了】
的皇家马德里	的皇家馬德【里】
小天王周杰伦	小天王【周】【傑】倫
从事网络游戏	從事網絡【遊】戲
让人回味无穷	讓人【回】味無窮
手机单向收费	手機單【向】收費
实施交通管制	實施交通管【制】
破获刑事案件	破【獲】刑事案件
在里约热内卢	在【里】約熱內盧
给他们带来了	給他們帶來【了】
不幸中的大幸	不【幸】中的大【幸】
填报志愿时间	填報【志】願時間
一电影制片厂	一電影【制】片廠
城市生态系统	城市生態【係】統
占据重要地位	【佔】【據】重要地位
腾讯游戏频道	騰訊【遊】戲頻道
占有绝对优势	【佔】有絕對優勢
发生这样的事	【發】生這樣的事
陈芝麻烂谷子	陳芝麻爛【谷】子
克什米尔地区	【克】什米爾地區
游戏中的人物	【遊】戲中的人物
据新华社上海	【據】新華社上海
不禁感慨万千	不禁感慨【萬】【千】
同等学力考生	【同】等學力考生
比赛开始之后	比賽開始之【後】
斯里兰卡政府	斯【里】蘭卡政府
我忍不住哭了	我忍不住哭【了】
引起了大家的	引起【了】大家的
都灵冬奥会上	都靈【冬】奧會上
为了吸引更多	爲【了】吸引更多
其实也是一种	其實也是一【種】
最亲密的关系	最親密的關【係】
发表声明表示	【發】【表】聲明【表】示
发布会上透露	【發】【佈】會上透露
女生宿舍楼下	女生宿【舍】樓下
北京福利彩票	北京福利【彩】票
然后你就可以	然【後】你就可以
股份转让系统	股份轉讓【係】統
就没有意义了	就沒有意義【了】
买了一套房子	買【了】一套房子
网络游戏用户	網絡【遊】戲用戶
比赛精彩瞬间	比賽精【彩】瞬間
该怎样去面对	該怎樣去【面】對
硅谷动力消息	硅【谷】動力消息
发现自己竟然	【發】現自己竟然
睁只眼闭只眼	睜【只】眼閉【只】眼
业内专家表示	業內專家【表】示
恶性通货膨胀	【惡】性通貨膨脹
已经烟消云散	已經【煙】消【雲】散
还是忘不了你	還是忘不【了】你
技术上的问题	技【術】上的問題
黄金时间播出	黃金時間播【出】
东方艺术中心	東方藝【術】中心
有关方面正在	有關方【面】正在
俄克拉荷马州	俄【克】拉荷馬州
付出了沉重的	付【出】【了】沉重的
球星贝克汉姆	球星貝【克】漢姆
彻底的崩溃了	徹底的崩潰【了】
浏览更多精彩	瀏覽更多精【彩】
据中央气象台	【據】中央氣象【臺】
各种各样的人	各【種】各樣的人
发表研究报告	【發】【表】研究報告
发布会上了解	【發】【佈】會上【了】解
我才发现原来	我【才】【發】現原來
发展公共交通	【發】展公共交通
匹夫不可夺志	匹夫不可奪【志】
指纹识别系统	指紋識【別】【係】統
线性控制系统	線性控【制】【係】統
三里屯酒吧街	三【里】屯酒吧街
产业高峰论坛	產業高峰論【壇】
眼泪掉了下来	眼淚掉【了】下來
有着天壤之别	有著天壤之【別】
相当于现在的	相【當】於現在的
觉得理所当然	覺得理所【當】然
向流通股股东	【向】流通股股東
复方丹参滴丸	【復】方丹【參】滴丸
在未来几个月	在未來【幾】個月
特别股东大会	特【別】股東大會
林花谢了春红	林花謝【了】春紅
直布罗陀海峡	直【佈】羅陀海峽
奥林匹克五环	奧林匹【克】五環
最优秀的人才	最優秀的人【才】
国务院发言人	國務院【發】言人
行尸走肉一般	行【屍】走肉一般
集团的董事长	集【團】的董事長
微笑着去面对	微笑著去【面】對
我已经习惯了	我已經習慣【了】
现在在哪里啊	現在在哪【里】啊
因为某种原因	因爲某【種】原因
消费者带来了	消費者帶來【了】
液晶电视采用	液晶電視【採】用
人机控制系统	人機控【制】【係】統
下一个更精彩	下一個更精【彩】
一种说不出的	一【種】說不【出】的
为了爱梦一生	爲【了】愛夢一生
与哈萨克斯坦	與哈薩【克】斯坦
羟乙基纤维素	羥乙基【纖】維素
管不了那么多	管不【了】那麼多
农历正月初一	農【歷】正月初一
本报记者表示	本報記者【表】示
好久没有见了	好久沒有見【了】
阴暗的角落里	陰【暗】的角落【里】
谈判陷入僵局	談判陷入【僵】局
改善中日关系	改善中日關【係】
到底是做错了	到底是做錯【了】
实在受不了了	實在受不【了】【了】
网络游戏出版	網絡【遊】戲【出】版
自我控制能力	自我控【制】能力
我早已习惯了	我早已習慣【了】
不是靠这几天	不是靠這【幾】天
同比大幅增长	【同】比大幅增長
已经成为历史	已經成爲【歷】史
是非常复杂的	是非常【復】雜的
开心就可以了	開心就可以【了】
表示强烈抗议	【表】示強烈抗議
行政复议机关	行政【復】議機關
有历史意义的	有【歷】史意義的
最幸福的女人	最【幸】福的女人
渐渐的习惯了	漸漸的習慣【了】
共同感兴趣的	共【同】感興趣的
遥想公瑾当年	遙想公瑾【當】年
发布会上宣布	【發】【佈】會上宣【佈】
国际关系准则	國際關【係】【準】則
在讲话中表示	在講話中【表】示
一个完全不同	一個完全不【同】
一些负面影响	一些負【面】影響
资源信息系统	資源信息【係】統
在这样下去了	在這樣下去【了】
数据加密标准	數【據】加密標【準】
采写本报记者	【採】寫本報記者
系统编程语言	【係】統編程語言
我的电脑坏了	我的電腦壞【了】
必须注意的是	必【須】【注】意的是
你是我的幸福	你是我的【幸】福
去年同期加快	去年【同】期加快
经济运行数据	經濟運行數【據】
再也控制不住	再也控【制】不住
自己的注意力	自己的【注】意力
我们也注意到	我們也【注】意到
尽人事听天命	【盡】人事聽天命
代表中国参加	代【表】中國【參】加
全世界只有我	全世界【只】有我
让人刮目相看	讓人【刮】目相看
研讨会上表示	研討會上【表】示
刮了一天的风	【刮】【了】一天的風
万般无奈之下	【萬】般無奈之下
一个月过去了	一個月過去【了】
也是一种享受	也是一【種】享受
的时候发现了	的時候【發】現【了】
面临巨大压力	【面】臨巨大壓力
要怎么说出口	要怎麼說【出】口
你结婚了没有	你結婚【了】沒有
发生透水事故	【發】生透水事故
可以分为两种	可以分爲兩【種】
同发展中国家	【同】【發】展中國家
相当大的影响	相【當】大的影響
警察发生冲突	警察【發】生【衝】突
淫秽色情表演	淫穢色情【表】演
更多精彩组图	更多精【彩】組圖
成为亿万富翁	成爲億【萬】富翁
忍不住流下了	忍不住流下【了】
考生参加高考	考生【參】加高考
小额支付系统	小額支付【係】統
我的个性签名	我的個性【籖】名
双方一致认为	雙方一【致】認爲
统计结果表明	統計結果【表】明
发挥出应有的	【發】揮【出】應有的
两种完全不同	兩【種】完全不【同】
为大家提供了	爲大家提供【了】
你会发现自己	你會【發】現自己
以免发生意外	以免【發】生意外
只是自欺欺人	【只】是自欺欺人
大学生毕业后	大學生畢業【後】
同声传译设备	【同】聲傳譯設備
慢慢的学会了	慢慢的學會【了】
特别是在中国	特【別】是在中國
发生过性关系	【發】生過性關【係】
总有一种力量	總有一【種】力量
引发交通事故	引【發】交通事故
最美丽的新娘	最美麗的新【娘】
进入网络游戏	進入網絡【遊】戲
氨基酸注射液	氨基酸【注】射液
通过定向增发	通過定【向】增【發】
粒细胞缺乏症	粒細胞缺乏【症】
的汽车制造商	的汽車【制】造商
盐酸克林霉素	鹽酸【克】林霉素
和平稳定发展	和平穩定【發】展
我马上要走了	我馬上要走【了】
技术经济评价	技【術】經濟評價
太阳系外行星	太陽【係】外行星
引发轩然大波	引【發】軒然大波
丧钟为谁而鸣	喪【鍾】爲誰而鳴
面对喜欢的人	【面】對喜歡的人
在赛季结束后	在賽季結束【後】
他们并不知道	他們【並】不知道
我以为你走了	我以爲你走【了】
给自己找借口	給自己找【借】口
内政部发言人	內政部【發】言人
外务省发言人	外務省【發】言人
十多年过去了	十多年過去【了】
发生山体滑坡	【發】生山體滑坡
背上了沉重的	背上【了】沉重的
出席了发布会	【出】席【了】【發】【佈】會
环节出了问题	環節【出】【了】問題
注意力转移到	【注】意力轉移到
你现在在干吗	你現在在【幹】嗎
身体上睡着了	身體上睡著【了】
首当其冲的是	首【當】其【衝】的是
勇敢地去面对	勇敢地去【面】對
那么理所当然	那麼理所【當】然
电子游戏软件	電子【遊】戲軟件
竖起了大拇指	豎起【了】大拇指
十年后的今天	十年【後】的今天
感染猪链球菌	感染豬【鏈】球菌
什么也没发生	什麼也沒【發】生
只有你才能让	【只】有你【才】能讓
这个过程当中	這個過程【當】中
为了让自己的	爲【了】讓自己的
作出严肃处理	作【出】嚴肅處理
付出我的生命	付【出】我的生命
永远幸福快乐	永遠【幸】福快樂
帕金森综合症	帕金森綜合【症】
公司定向增发	公司定【向】增【發】
邮政体制改革	郵政體【制】改革
集团副董事长	集【團】副董事長
即将参加高考	即將【參】加高考
呼吁有关部门	呼【籲】有關部門
据新华社消息	【據】新華社消息
已经明确表示	已經明確【表】示
斯诺克世锦赛	斯諾【克】世錦賽
很幸福很快乐	很【幸】福很快樂
的时间并不长	的時間【並】不長
残奥会志愿者	殘奧會【志】願者
采取军事行动	【採】取軍事行動
据香港大公报	【據】香港大公報
再也没有回来	再也沒有【回】來
还有没有别的	還有沒有【別】的
将面临更大的	將【面】臨更大的
怎么一回事呢	怎麼一【回】事呢
第一次出现了	第一次【出】現【了】
发生在巴格达	【發】生在巴格達
并不尽如人意	【並】不【盡】如人意
现在我才知道	現在我【才】知道
农业生态系统	農業生態【係】統
了不起的成就	【了】不起的成就
并且可以通过	【並】且可以通過
每当夜幕降临	每【當】夜幕降臨
断绝父子关系	斷絕父子關【係】
证据的情况下	證【據】的情況下
据知情者透露	【據】知情者透露
骨髓移植手术	骨髓移植手【術】
全面战略合作	全【面】戰略合作
也没什么特别	也沒什麼特【別】
最低录取控制	最低錄取控【制】
欧佩克成员国	歐佩【克】成員國
系列运载火箭	【係】列運載火箭
我要去洗澡了	我要去洗澡【了】
什么也没有了	什麼也沒有【了】
男朋友分手了	男朋友分手【了】
科学家们发现	科學家們【發】現
在过去几年中	在過去【幾】年中
空调温度控制	空調溫度控【制】
丰富的维他命	【豐】富的維他命
很长时间才能	很長時間【才】能
逐渐显现出来	逐漸顯現【出】來
没有别的意思	沒有【別】的意思
由北向南行驶	由北【向】南行駛
人大代表职务	人大代【表】職務
出租汽车司机	【出】租汽車司機
相当长时间内	相【當】長時間內
我明白了一切	我明白【了】一切
发布会上回答	【發】【佈】會上【回】答
采取进一步的	【採】取進一步的
风险控制指标	風險控【制】指標
重点关注的对	重點關【注】的對
系统控制程序	【係】統控【制】程序
由共青团中央	由共青【團】中央
中国邮政集团	中國郵政集【團】
喜欢胡思乱想	喜歡【胡】思亂想
占据绝对优势	【佔】【據】絕對優勢
都不好意思了	都不好意思【了】
首都机场集团	首都機場集【團】
更轻松的开始	更輕【鬆】的開始
早在几个月前	早在【幾】個月前
抛到九霄云外	拋到九霄【雲】外
就给我发信息	就給我【發】信息
我喝了很多酒	我喝【了】很多酒
知道怎样才能	知道怎樣【才】能
宣布这一消息	宣【佈】這一消息
我心里很明白	我心【里】很明白
花了很多时间	花【了】很多時間
数字电视地面	數字電視地【面】
专家分析指出	專家分析指【出】
有没有注意到	有沒有【注】意到
看外面的世界	看外【面】的世界
发发发发发发	【發】【發】【發】【發】【發】【發】
舍小家为大家	【舍】小家爲大家
有点接受不了	有點接受不【了】
对中国出口的	對中國【出】口的
最明显的特征	最明顯的特【徵】
大家的注意力	大家的【注】意力
今天怎么了啊	今天怎麼【了】啊
人民法院核准	人民法院核【準】
昏暗的灯光下	昏【暗】的燈光下
香港经济发展	香港經濟【發】展
在克里姆林宫	在【克】【里】姆林宮
投资者特别是	投資者特【別】是
真是郁闷死了	真是【鬱】悶死【了】
难道是我错了	難道是我錯【了】
每当我闭上眼	每【當】我閉上眼
一项研究发现	一項研究【發】現
控制党政机关	控【制】【黨】政機關
产生抑制作用	產生抑【制】作用
相当大一部分	相【當】大一部分
环境信息系统	環境信息【係】統
社会学系教授	社會學【係】教授
一种撕心裂肺	一【種】撕心裂肺
农业合作论坛	農業合作論【壇】
坐在沙发上看	坐在沙【發】上看
美国在伊拉克	美國在伊拉【克】
夏日里的春天	夏日【里】的春天
在很多人眼里	在很多人眼【里】
几乎可以说是	【幾】乎可以說是
我军历史使命	我軍【歷】史使命
从国家发改委	從國家【發】改委
我爱的人幸福	我愛的人【幸】福
气息扑面而来	氣息撲【面】而來
接受电话采访	接受電話【採】訪
还没有回来啊	還沒有【回】來啊
还是因为别的	還是因爲【別】的
接受手术治疗	接受手【術】治療
忘不了我们有	忘不【了】我們有
十分引人注目	十分引人【注】目
留下了美好的	留下【了】美好的
你不说就算了	你不說就算【了】
批准的情况下	批【準】的情況下
就这么过来了	就這麼過來【了】
我终于回来了	我終於【回】來【了】
合作伙伴之一	合作【夥】伴之一
据信息产业部	【據】信息產業部
花费了大量的	花費【了】大量的
数据的一致性	數【據】的一【致】性
这是一个相当	這是一個相【當】
写的怎么样了	寫的怎麼樣【了】
仅仅只是一个	僅僅【只】是一個
纽约州参议员	紐約州【參】議員
双方一致同意	雙方一【致】【同】意
扎实的基本功	【扎】實的基本功
教育部公布的	教育部公【佈】的
作为合作伙伴	作爲合作【夥】伴
另据记者了解	另【據】記者【了】解
决定上层建筑	決定上層建【築】
同期上证指数	【同】期上證指數
只是一小部分	【只】是一小部分
晴到多云天气	晴到多【雲】天氣
一步一步走向	一步一步走【向】
四冲程发动机	四【衝】程【發】動機
的伊拉克战争	的伊拉【克】戰爭
检测结果表明	檢測結果【表】明
美军在伊拉克	美軍在伊拉【克】
采用了独特的	【採】用【了】獨特的
通信系统设计	通信【係】統設計
同属一个中国	【同】屬一個中國
经过调查发现	經過調查【發】現
统计数据来看	統計數【據】來看
据香港文汇报	【據】香港文【匯】報
纳斯达克市场	納斯達【克】市場
老翅几回寒暑	老翅【幾】【回】寒暑
可能会出现的	可能會【出】現的
笑得前仰后合	笑得前仰【後】合
为了节省时间	爲【了】節省時間
我就不理你了	我就不理你【了】
开幕式上发表	開幕式上【發】【表】
这里就不多说	這【里】就不多說
在你面前也会	在你【面】前也會
发布违法广告	【發】【佈】違法廣告
技术经济论证	技【術】經濟論證
多款网络游戏	多款網絡【遊】戲
和伊拉克战争	和伊拉【克】戰爭
当地卫生部门	【當】地衛生部門
更多精彩资讯	更多精【彩】資訊
一发而不可收	一【發】而不可收
昨天发布公告	昨天【發】【佈】公告
柏林爱乐乐团	柏林愛樂樂【團】
整天游手好闲	整天【遊】手好閑
经风雨见世面	經風雨見世【面】
运载火箭技术	運載火箭技【術】
本身也是一种	本身也是一【種】
助力转向系统	助力轉【向】【係】統
临时交通管制	臨時交通管【制】
最简单的幸福	最簡單的【幸】福
作为网络游戏	作爲網絡【遊】戲
提出反对意见	提【出】反對意見
军地两用人才	軍地兩用人【才】
据中国青年报	【據】中國青年報
你来了多久了	你來【了】多久【了】
因为工作关系	因爲工作關【係】
实在忍受不了	實在忍受不【了】
梦回吹角连营	夢【回】吹角連營
烦死了烦死了	煩死【了】煩死【了】
盐湖城冬奥会	鹽湖城【冬】奧會
数字集团电话	數字集【團】電話
完全是两回事	完全是兩【回】事
遵守游戏规则	遵守【遊】戲規則
外汇储备资产	外【匯】儲備資產
国台办发言人	國【臺】辦【發】言人
飞行控制中心	飛行控【制】中心
获奖名单如下	【獲】獎名單如下
变得丰富多彩	變得【豐】富多【彩】
我就要回家了	我就要【回】家【了】
中国北车集团	中國北車集【團】
迅速作出反应	迅速作【出】反應
形成了强烈的	形成【了】強烈的
已经所剩无几	已經所剩無【幾】
在黑暗中摸索	在黑【暗】中摸索
互不干涉内政	互不【幹】涉內政
老板亚历山大	老【板】亞【歷】山大
又重新回到了	又重新【回】到【了】
哪怕只有一次	哪怕【只】有一次
越来越漂亮了	越來越漂亮【了】
中共中央台办	中共中央【臺】辦
两党两国关系	兩【黨】兩國關【係】
的时间太长了	的時間太長【了】
有限的时间里	有限的時間【里】
不到回家的路	不到【回】家的路
一打听才知道	一打聽【才】知道
心脏移植手术	心【髒】移植手【術】
就已经足够了	就已經足夠【了】
一种从未有过	一【種】從未有過
校园篮球风云	校園籃球風【雲】
怎么样去面对	怎麼樣去【面】對
理所当然的事	理所【當】然的事
内蒙古东北部	內【蒙】古東北部
就是几个小时	就是【幾】個小時
承受不了这样	承受不【了】這樣
继续向前发展	繼續【向】前【發】展
赛诺菲安万特	賽諾菲安【萬】特
几家欢乐几家	【幾】家歡樂【幾】家
我爱上了一个	我愛上【了】一個
确定恋爱关系	確定戀愛關【係】
犹太复国主义	猶太【復】國主義
内蒙古中东部	內【蒙】古中東部
只有一个想法	【只】有一個想法
党内警告处分	【黨】內警告處分
春秋航空公司	春【秋】航空公司
充满传奇色彩	充滿傳奇色【彩】
后才知道珍惜	【後】【才】知道珍惜
未成年人出售	未成年人【出】售
综合台湾媒体	綜合【臺】灣媒體
只有一个目的	【只】有一個目的
也是一种快乐	也是一【種】快樂
我在家里上网	我在家【里】上網
什么也做不了	什麼也做不【了】
扶不起的阿斗	扶不起的阿【鬭】
推出的第一款	推【出】的第一款
翻了个底朝天	翻【了】個底朝天
国家管理制度	國家管理【制】度
中国民族游戏	中國民族【遊】戲
主机操作系统	主機操作【係】統
塔利班发言人	塔利班【發】言人
一天到晚游泳	一天到晚【遊】泳
发现自己真的	【發】現自己真的
已经荡然无存	已經【蕩】然無存
怎么又回来了	怎麼又【回】來【了】
数据统计显示	數【據】統計顯示
