与我们联系	與我們聯【係】
生命的轮回	生命的輪【回】
再在一起了	再在一起【了】
有了实质性	有【了】實質性
国际单位制	國際單位【制】
北海布伦特	北海【佈】倫特
发生的概率	【發】生的概率
接到电话后	接到電話【後】
台商在大陆	【臺】商在大陸
是呀怎么了	是呀怎麼【了】
的行为艺术	的行爲藝【術】
参加学校的	【參】加學校的
朝日电视台	朝日電視【臺】
终于回到了	終於【回】到【了】
合伙做生意	合【夥】做生意
做一个幸福	做一個【幸】福
大不了的事	大不【了】的事
舍不得花钱	【舍】不得花錢
建筑公司的	建【築】公司的
保持了朋友	保持【了】朋友
洋溢着幸福	洋溢著【幸】福
各大电视台	各大電視【臺】
的一个同事	的一個【同】事
没有时间表	沒有時間【表】
不仅吸引了	不僅吸引【了】
我就要回家	我就要【回】家
职业巡回赛	職業巡【回】賽
这两种不同	這兩【種】不【同】
最终产生了	最終產生【了】
新世界发展	新世界【發】展
举行了婚礼	舉行【了】婚禮
在挫折面前	在挫【折】【面】前
继发性感染	繼【發】性感染
在回家的路	在【回】家的路
是不是同一	是不是【同】一
在现实面前	在現實【面】前
正式签订了	正式【籖】訂【了】
进行了协商	進行【了】協商
公布了最新	公【佈】【了】最新
的怎么样了	的怎麼樣【了】
不仅改变了	不僅改變【了】
也回不去了	也【回】不去【了】
分别占全国	分【別】【佔】全國
的特种部队	的特【種】部隊
蓦然回首的	驀然【回】首的
的致命弱点	的【致】命弱點
参与其中的	【參】與其中的
很不容易了	很不容易【了】
同时也能够	【同】時也能夠
今天不回家	今天不【回】家
不了解中国	不【了】解中國
踏出第一步	踏【出】第一步
原来的我了	原來的我【了】
别人的生活	【別】人的生活
游戏时间为	【遊】戲時間爲
为了自身的	爲【了】自身的
杰出的贡献	【傑】【出】的貢獻
昨天发布了	昨天【發】【佈】【了】
致人死亡的	【致】人死亡的
曲艺家协会	【曲】藝家協會
那就不用了	那就不用【了】
全世界宣布	全世界宣【佈】
有时候幸福	有時候【幸】福
我要是去了	我要是去【了】
的时间不同	的時間不【同】
究竟怎么了	究竟怎麼【了】
我就下线了	我就下線【了】
你想太多了	你想太多【了】
考了多少分	考【了】多少分
英特尔平台	英特爾平【臺】
发信息过来	【發】信息過來
这里还有鱼	這【里】還有魚
问题的困扰	問題的【困】擾
科班出身的	科班【出】身的
事件进行了	事件進行【了】
还是改不了	還是改不【了】
的几个朋友	的【幾】個朋友
已明确表示	已明確【表】示
太阳系行星	太陽【係】行星
之间的斗争	之間的【鬭】爭
我不爱你了	我不愛你【了】
你玩游戏了	你玩【遊】戲【了】
确实是一种	確實是一【種】
自己变成了	自己變成【了】
在这种状态	在這【種】狀態
你呢在那里	你呢在那【里】
鲜艳的色彩	鮮艷的色【彩】
吸烟的姿势	吸【煙】的姿勢
松岛菜菜子	【鬆】島菜菜子
是解决不了	是解決不【了】
感染了病毒	感染【了】病毒
从而造成了	從而造成【了】
在云南昆明	在【雲】南昆明
不同专业的	不【同】專業的
市公交集团	市公交集【團】
千万不要被	【千】【萬】不要被
矢志不渝的	矢【志】不渝的
人来了又走	人來【了】又走
动荡不安的	動【蕩】不安的
意大利万岁	意大利【萬】歲
经销商表示	經銷商【表】示
从医院回来	從醫院【回】來
各方面表现	各方【面】【表】現
祝你们幸福	祝你們【幸】福
他们均表示	他們均【表】示
日子过去了	日子過去【了】
男出生年月	男【出】生年月
人员还发现	人員還【發】現
性格内向的	性格內【向】的
散发弄扁舟	散【發】弄扁舟
的时候那种	的時候那【種】
关系都没有	關【係】都沒有
我记得当时	我記得【當】時
一生只爱你	一生【只】愛你
终于取得了	終於取得【了】
用各种方式	用各【種】方式
不知道那里	不知道那【里】
国民党方面	國民【黨】方【面】
管不了那么	管不【了】那麼
周期性行业	【周】期性行業
尽量不要在	【盡】量不要在
在首发阵容	在首【發】陣容
心里的平衡	心【里】的平衡
受到了限制	受到【了】限【制】
很复杂的事	很【復】雜的事
伊拉克发生	伊拉【克】【發】生
闪闪发亮的	閃閃【發】亮的
市场推出的	市場推【出】的
政府并没有	政府【並】沒有
在技术方面	在技【術】方【面】
充分表现出	充分【表】現【出】
我只好选择	我【只】好選擇
这里有两个	這【里】有兩個
了近一个月	【了】近一個月
行尸走肉的	行【屍】走肉的
红烧牛肉面	紅燒牛肉【面】
张力控制器	張力控【制】器
在外人面前	在外人【面】前
了爸爸妈妈	【了】爸爸媽媽
伊拉克国家	伊拉【克】國家
伊拉克难民	伊拉【克】難民
忘记了伤害	忘記【了】傷害
我们这里有	我們這【里】有
占全国人口	【佔】全國人口
全社会公布	全社會公【佈】
获得的消息	【獲】得的消息
防病毒技术	防病毒技【術】
海淀区法院	海【澱】區法院
坚强的后盾	堅強的【後】盾
研制核武器	研【制】核武器
没有这回事	沒有這【回】事
的发行价格	的【發】行價格
蒙得维的亚	【蒙】得維的亞
与外界联系	與外界聯【係】
消费者表示	消費者【表】示
俱乐部表示	俱樂部【表】示
幸福要自己	【幸】福要自己
短短几分钟	短短【幾】分【鍾】
数据和信息	數【據】和信息
布什总统的	【佈】什總統的
出口天然气	【出】口天然氣
共发送旅客	共【發】送旅客
跟别人一样	跟【別】人一樣
外汇分析师	外【匯】分析師
抽出时间来	抽【出】時間來
别人的长处	【別】人的長處
故事讲述了	故事講述【了】
创作的歌曲	創作的歌【曲】
我们经历了	我們經【歷】【了】
出来了轻松	【出】來【了】輕【鬆】
不到十分钟	不到十分【鍾】
过每一分钟	過每一分【鍾】
站在讲台上	站在講【臺】上
展现了中国	展現【了】中國
反映出中国	反映【出】中國
这个圈子里	這個圈子【里】
市民的出行	市民的【出】行
净利润分别	凈利潤分【別】
忘不了曾经	忘不【了】曾經
同时出现了	【同】時【出】現【了】
然后再通过	然【後】再通過
发言人今天	【發】言人今天
就这样过了	就這樣過【了】
但是你必须	但是你必【須】
没发现什么	沒【發】現什麼
老夫老妻了	老夫老妻【了】
并没有注意	【並】沒有【注】意
尽量让自己	【盡】量讓自己
你接受不了	你接受不【了】
部分时间里	部分時間【里】
已经厌倦了	已經厭倦【了】
友好代表团	友好代【表】【團】
离我太远了	離我太遠【了】
企业管理系	企業管理【係】
获取更大的	【獲】取更大的
来到了我们	來到【了】我們
命中率只有	命中率【只】有
快地答应了	快地答應【了】
向记者回忆	【向】記者【回】憶
放纵自己了	放縱自己【了】
只要一想到	【只】要一想到
到这里来的	到這【里】來的
表现得相当	【表】現得相【當】
集团持有的	集【團】持有的
我们也只能	我們也【只】能
最后的愿望	最【後】的願望
不少开发商	不少開【發】商
我已经尽量	我已經【盡】量
你心里到底	你心【里】到底
打不开局面	打不開局【面】
致力于实现	【致】力於實現
改革委会同	改革委會【同】
总结了一些	總結【了】一些
的共同声明	的共【同】聲明
当时就觉得	【當】時就覺得
算了一笔帐	算【了】一筆帳
认不出自己	認不【出】自己
大同小异的	大【同】小異的
更容易发生	更容易【發】生
只想要简单	【只】想要簡單
同一个人的	【同】一個人的
生当作人杰	生【當】作人【傑】
今年中秋节	今年中【秋】節
据广州日报	【據】廣州日報
似乎有一种	似乎有一【種】
刚才没看见	剛【才】沒看見
经济电视台	經濟電視【臺】
做了很好的	做【了】很好的
向记者诉说	【向】記者訴說
晚上出去玩	晚上【出】去玩
开始害怕了	開始害怕【了】
和别的男人	和【別】的男人
进行了暗访	進行【了】【暗】訪
舍不得自己	【舍】不得自己
他们很幸福	他們很【幸】福
在游戏过程	在【遊】戲過程
回想起过去	【回】想起過去
拿到了冠军	拿到【了】冠軍
一条死胡同	一條死【胡】【同】
顺其自然了	順其自然【了】
关系不一般	關【係】不一般
已经造成了	已經造成【了】
情有独钟的	情有獨【鍾】的
也表示自己	也【表】示自己
等会就走了	等會就走【了】
首都马德里	首都馬德【里】
只是他们的	【只】是他們的
但并不是说	但【並】不是說
还是有区别	還是有區【別】
实际控制权	實際控【制】權
出力不讨好	【出】力不討好
周边产品的	【周】邊產品的
小天鹅集团	小天鵝集【團】
了相关规定	【了】相關規定
出席联合国	【出】席聯合國
于美国当地	於美國【當】地
我们还必须	我們還必【須】
我准备明天	我【準】備明天
一家人团聚	一家人【團】聚
这也是为了	這也是爲【了】
你早日康复	你早日康【復】
曾公开表示	曾公開【表】示
最美的回忆	最美的【回】憶
陆续推出了	陸續推【出】【了】
习惯了一个	習慣【了】一個
两个多月了	兩個多月【了】
的态度面对	的態度【面】對
提供了空间	提供【了】空間
万万不能的	【萬】【萬】不能的
最后选择了	最【後】選擇【了】
此前曾表示	此前曾【表】示
一见钟情了	一見【鍾】情【了】
在当地引起	在【當】地引起
我心里一直	我心【里】一直
就开始出现	就開始【出】現
彻底的错了	徹底的錯【了】
局部麻醉药	局部麻醉【藥】
从新开始了	從新開始【了】
心里不舒服	心【里】不舒服
太阳升起的	太陽【升】起的
艺术表现力	藝【術】【表】現力
的一种工具	的一【種】工具
太感谢你了	太感謝你【了】
出入境边防	【出】入境邊防
另一种人生	另一【種】人生
投了反对票	投【了】反對票
人际关系中	人際關【係】中
口岸出入境	口岸【出】入境
的历史时刻	的【歷】史時刻
全面开放的	全【面】開放的
特困大学生	特【困】大學生
阴暗的角落	陰【暗】的角落
有一见钟情	有一見【鍾】情
千万要小心	【千】【萬】要小心
个研发中心	個研【發】中心
以前的同事	以前的【同】事
一个小插曲	一個小插【曲】
我们认识了	我們認識【了】
干净利落的	【幹】凈利落的
很多开发商	很多開【發】商
奥斯卡金曲	奧斯卡金【曲】
激活码发放	激活碼【發】放
表达他们的	【表】達他們的
据香港特区	【據】香港特區
责任准备金	責任【準】備金
突然发生的	突然【發】生的
药品的价格	【藥】品的價格
晚来天欲雪	晚來天【欲】雪
立即启动了	立即啓動【了】
呼吁以色列	呼【籲】以色列
我们几个人	我們【幾】個人
差不多了吧	差不多【了】吧
石油出口国	石油【出】口國
恨别鸟惊心	恨【別】鳥驚心
的出租汽车	的【出】租汽車
第三种情况	第三【種】情況
二战结束后	二戰結束【後】
早点回来啊	早點【回】來啊
今天太晚了	今天太晚【了】
一把抓住了	一把抓住【了】
时间上网了	時間上網【了】
当然不知道	【當】然不知道
时明确表示	時明確【表】示
当作好朋友	【當】作好朋友
派出所值班	派【出】所值班
已经看过了	已經看過【了】
心脏性猝死	心【髒】性猝死
记者联系到	記者聯【係】到
集团中国区	集【團】中國區
的要求并不	的要求【並】不
我并不觉得	我【並】不覺得
不要忘了我	不要忘【了】我
为她付出了	爲她付【出】【了】
难度相当大	難度相【當】大
人民币汇价	人民幣【匯】價
可能会面临	可能會【面】臨
和斯里兰卡	和斯【里】蘭卡
到工作了吗	到工作【了】嗎
之间出现了	之間【出】現【了】
具备相当的	具備相【當】的
吸引了我的	吸引【了】我的
同性性行为	【同】性性行爲
身份出现在	身份【出】現在
致力于维护	【致】力於維護
好几个月了	好【幾】個月【了】
历史上唯一	【歷】史上唯一
我才知道他	我【才】知道他
结婚一周年	結婚一【周】年
心里空落落	心【里】空落落
系统有问题	【係】統有問題
努瓦克肖特	努瓦【克】肖特
同学跟我说	【同】學跟我說
据香港媒体	【據】香港媒體
出生入死的	【出】生入死的
婚姻关系的	婚姻關【係】的
进行分析后	進行分析【後】
出现为什么	【出】現爲什麼
没玩游戏了	沒玩【遊】戲【了】
出现在这个	【出】現在這個
露出淡淡的	露【出】淡淡的
何时才可以	何時【才】可以
在电脑面前	在電腦【面】前
中断向量表	中斷【向】量【表】
在斯里兰卡	在斯【里】蘭卡
亚得里亚海	亞得【里】亞海
具有出色的	具有【出】色的
在北京表示	在北京【表】示
寒冷的冬日	寒冷的【冬】日
不回答我啊	不【回】答我啊
不回家的人	不【回】家的人
据日本媒体	【據】日本媒體
上网玩游戏	上網玩【遊】戲
电子制动力	電子【制】動力
静静的发呆	靜靜的【發】呆
记者还发现	記者還【發】現
你同归于尽	你【同】歸於【盡】
干嘛不说话	【幹】嘛不說話
研究员表示	研究員【表】示
的横空出世	的橫空【出】世
平均批发价	平均批【發】價
布拉格之春	【佈】拉格之春
开心地笑了	開心地笑【了】
精心的准备	精心的【準】備
内蒙古中部	內【蒙】古中部
就是错过了	就是錯過【了】
尽管中国队	【盡】管中國隊
反反复复地	反反【復】【復】地
数据库环境	數【據】庫環境
心里甜甜的	心【里】甜甜的
获诺贝尔奖	【獲】諾貝爾獎
投资者获取	投資者【獲】取
只不过他们	【只】不過他們
欣然接受了	欣然接受【了】
心灵的交汇	心靈的交【匯】
受到了伤害	受到【了】傷害
以后也不会	以【後】也不會
大面积提速	大【面】積提速
考生参加了	考生【參】加【了】
付出自己的	付【出】自己的
当时流行的	【當】時流行的
打我电话了	打我電話【了】
公园里散步	公園【里】散步
小小的幸福	小小的【幸】福
开始了一个	開始【了】一個
只有这一个	【只】有這一個
福克兰群岛	福【克】蘭群島
不要忘记了	不要忘記【了】
你就要走了	你就要走【了】
恢复性训练	恢【復】性訓練
往往忽视了	往往忽視【了】
碰到了一个	碰到【了】一個
活并不代表	活【並】不代【表】
只有靠自己	【只】有靠自己
个天昏地暗	個天昏地【暗】
都可以参与	都可以【參】與
公开审理了	公開審理【了】
一下子成了	一下子成【了】
就这么定了	就這麼定【了】
困难的勇气	【困】難的勇氣
基本面因素	基本【面】因素
我妈妈回来	我媽媽【回】來
并没有忘记	【並】沒有忘記
伽利略计划	伽利略計【劃】
终于下雨了	終於下雨【了】
派上用场了	派上用場【了】
反映了人们	反映【了】人們
今年春节后	今年春節【後】
领导人出席	領導人【出】席
我欲罢不能	我【欲】罷不能
比上月上升	比上月上【升】
我出出主意	我【出】【出】主意
有一种力量	有一【種】力量
我去打游戏	我去打【遊】戲
我发自内心	我【發】自內心
就此进行了	就此進行【了】
不同的变化	不【同】的變化
已经上涨了	已經上漲【了】
发现很多人	【發】現很多人
主任陈云林	主任陳【雲】林
中国游泳队	中國【遊】泳隊
周围的群众	【周】圍的群眾
如果错过了	如果錯過【了】
眼泪模糊了	眼淚模糊【了】
战斗结束后	戰【鬭】結束【後】
中表现出了	中【表】現【出】【了】
为了下一次	爲【了】下一次
面对复杂的	【面】對【復】雜的
只是彼此的	【只】是彼此的
游牧民族的	【遊】牧民族的
短短几年内	短短【幾】年內
的作战计划	的作戰計【劃】
一会就下了	一會就下【了】
带来了丰厚	帶來【了】【豐】厚
当春乃发生	【當】春乃【發】生
哭着离开了	哭著離開【了】
可千万不能	可【千】【萬】不能
最后一堂课	最【後】一堂課
其中最突出	其中最突【出】
过去几年的	過去【幾】年的
充满了愧疚	充滿【了】愧疚
了这个地方	【了】這個地方
同样采用了	【同】樣【採】用【了】
我现在回来	我現在【回】來
需要理由了	需要理由【了】
为了任何人	爲【了】任何人
药监局局长	【藥】監局局長
怎么没出去	怎麼沒【出】去
开始了为期	開始【了】爲期
面对现实的	【面】對現實的
只有一次的	【只】有一次的
毫无根据的	毫無根【據】的
在这里宣布	在這【里】宣【佈】
忙什么去了	忙什麼去【了】
一汽丰田的	一汽【豐】田的
自己的面子	自己的【面】子
由于伊拉克	由於伊拉【克】
克服自己的	【克】服自己的
向检察机关	【向】檢察機關
晚上不出去	晚上不【出】去
回过头想想	【回】過頭想想
什么改变了	什麼改變【了】
几年如一日	【幾】年如一日
都看不到了	都看不到【了】
都找不到了	都找不到【了】
物价局表示	物價局【表】示
背上了沉重	背上【了】沉重
坚持不住了	堅持不住【了】
什么地方了	什麼地方【了】
同学们纷纷	【同】學們紛紛
只是短短的	【只】是短短的
美国福克斯	美國福【克】斯
我想你了啊	我想你【了】啊
斯瓦希里语	斯瓦希【里】語
反潜直升机	反潛直【升】機
的台湾同胞	的【臺】灣【同】胞
据警方透露	【據】警方透露
几个人知道	【幾】個人知道
采用飞利浦	【採】用飛利浦
交了男朋友	交【了】男朋友
成为了我们	成爲【了】我們
还是出现了	還是【出】現【了】
都不约而同	都不約而【同】
但不同的是	但不【同】的是
的春夏秋冬	的春夏【秋】【冬】
刚才在吃饭	剛【才】在吃飯
合资成立了	合資成立【了】
紧紧抓住了	緊緊抓住【了】
充满了活力	充滿【了】活力
这也是导致	這也是導【致】
在太阳升起	在太陽【升】起
的发言人称	的【發】言人稱
在当今中国	在【當】今中國
注定要失败	【注】定要失敗
为了共同的	爲【了】共【同】的
都吓了一跳	都嚇【了】一跳
这次推出的	這次推【出】的
放松了警惕	放【鬆】【了】警惕
我能干什么	我能【幹】什麼
我要去玩了	我要去玩【了】
跟了他以后	跟【了】他以【後】
我的照片了	我的照片【了】
都解决不了	都解決不【了】
我只有选择	我【只】有選擇
据初步了解	【據】初步【了】解
我认为只要	我認爲【只】要
幸福我只能	【幸】福我【只】能
出台燃油税	【出】【臺】燃油稅
航母战斗群	航母戰【鬭】群
什么游戏呢	什麼【遊】戲呢
法规的出台	法規的【出】【臺】
上海市药监	上海市【藥】監
就可以参加	就可以【參】加
伊拉克战后	伊拉【克】戰【後】
了中国汽车	【了】中國汽車
都摆脱不了	都【擺】脫不【了】
几个关键词	【幾】個關鍵詞
理所应当的	理所應【當】的
望穿秋水的	望穿【秋】水的
啊啊啊暗暗	啊啊啊【暗】【暗】
绝种好男人	絕【種】好男人
家里所有的	家【里】所有的
是贝克汉姆	是貝【克】漢姆
神话主题曲	神話主題【曲】
仍历历在目	仍【歷】【歷】在目
代表团将于	代【表】【團】將於
两个人幸福	兩個人【幸】福
市场上了解	市場上【了】解
已经回来了	已經【回】來【了】
的赛车游戏	的賽車【遊】戲
很好的锻炼	很好的鍛【煉】
任务完成了	任務完成【了】
斯巴达克斯	斯巴達【克】斯
谁才是真正	誰【才】是真正
一种理想的	一【種】理想的
正式公布的	正式公【佈】的
气管切开术	氣管切開【術】
好人际关系	好人際關【係】
很理所当然	很理所【當】然
的首发阵容	的首【發】陣容
共同的特征	共【同】的特【徵】
时间复杂度	時間【復】雜度
长大后我就	長大【後】我就
外贸出口额	外貿【出】口額
出租车运价	【出】租車運價
方面提供的	方【面】提供的
爆炸案发生	爆炸案【發】生
发生了转变	【發】生【了】轉變
介绍认识了	介紹認識【了】
骨子里透出	骨子【里】透【出】
最好不过了	最好不過【了】
城市志愿者	城市【志】願者
一揽子计划	一攬子計【劃】
看到里面的	看到【里】【面】的
金色的秋天	金色的【秋】天
总干事拉米	總【幹】事拉米
致力于改善	【致】力於改善
卡路里热量	卡路【里】熱量
音乐电视台	音樂電視【臺】
却寥寥无几	卻寥寥無【幾】
给别人看的	給【別】人看的
不同的就是	不【同】的就是
在冬季转会	在【冬】季轉會
喝了很多酒	喝【了】很多酒
这就足够了	這就足夠【了】
运动控制卡	運動控【制】卡
我变了好多	我變【了】好多
通常有两种	通常有兩【種】
作出适当的	作【出】適【當】的
在朋友眼里	在朋友眼【里】
准备干什么	【準】備【幹】什麼
奇迹出现了	奇跡【出】現【了】
上周五收盘	上【周】五收盤
了就可以了	【了】就可以【了】
游戏代言人	【遊】戲代言人
我马上走了	我馬上走【了】
单打独斗的	單打獨【鬭】的
我发现这个	我【發】現這個
只是找不到	【只】是找不到
不知所措了	不知所措【了】
丰富的人生	【豐】富的人生
把我气死了	把我氣死【了】
也不知过了	也不知過【了】
我刚才说的	我剛【才】說的
而是选择了	而是選擇【了】
那不就对了	那不就對【了】
多家电视台	多家電視【臺】
了大江南北	【了】大江南北
学习别人的	學習【別】人的
脱排油烟机	脫排油【煙】機
我害怕这种	我害怕這【種】
医院了解到	醫院【了】解到
种族主义者	【種】族主義者
看看别人的	看看【別】人的
无济于事了	無濟於事【了】
一个充满了	一個充滿【了】
了批评教育	【了】批評教育
中小板公司	中小【板】公司
近日出台了	近日【出】【臺】【了】
西班牙当地	西班牙【當】地
哦知道了啊	哦知道【了】啊
建筑平面图	建【築】平【面】圖
马英九特别	馬英九特【別】
第一个发现	第一個【發】現
如果伊拉克	如果伊拉【克】
发短信给我	【發】短信給我
并希望通过	【並】希望通過
出生于美国	【出】生於美國
到那里去了	到那【里】去【了】
走了一段路	走【了】一段路
所以就有了	所以就有【了】
那就别说了	那就【別】說【了】
太了解你了	太【了】解你【了】
日前出台了	日前【出】【臺】【了】
电据路透社	電【據】路透社
的大千世界	的大【千】世界
台儿庄战役	【臺】兒莊戰役
色彩艳丽的	色【彩】艷麗的
家书抵万金	家書抵【萬】金
在央视播出	在央視播【出】
在看守所里	在看守所【里】
全面合作的	全【面】合作的
共和党议员	共和【黨】議員
乌苏里船歌	烏【蘇】【里】船歌
向世贸组织	【向】世貿組織
只有你最懂	【只】有你最懂
液压升降台	液壓【升】降【臺】
那你在干吗	那你在【幹】嗎
一定要尽快	一定要【盡】快
发生巨大的	【發】生巨大的
恶势力团伙	【惡】勢力【團】【夥】
发挥出水平	【發】揮【出】水平
的发展脉络	的【發】展脈絡
大家好才是	大家好【才】是
美国参谋长	美國【參】謀長
解决伊拉克	解決伊拉【克】
按合同要求	按合【同】要求
药品注册司	【藥】品【注】冊司
很长时间才	很長時間【才】
之后推出的	之【後】推【出】的
有暗香盈袖	有【暗】香盈袖
俯冲轰炸机	俯【衝】轟炸機
一位发言人	一位【發】言人
付出很大的	付【出】很大的
并答记者问	【並】答記者問
开口说话了	開口說話【了】
肝移植手术	肝移植手【術】
说什么才好	說什麼【才】好
遇到了问题	遇到【了】問題
出租车价格	【出】租車價格
性别比偏高	性【別】比偏高
与上周相比	與上【周】相比
发动大规模	【發】動大規模
就不好玩了	就不好玩【了】
是千真万确	是【千】真【萬】確
一种说不出	一【種】說不【出】
特别提到了	特【別】提到【了】
还可以参加	還可以【參】加
摇了摇头说	搖【了】搖頭說
持这种观点	持這【種】觀點
这种全新的	這【種】全新的
只需要一秒	【只】需要一秒
你回心转意	你【回】心轉意
获得了胜利	【獲】得【了】勝利
专门采访了	專門【採】訪【了】
台上一分钟	【臺】上一分【鍾】
的恢复情况	的恢【復】情況
几乎全部是	【幾】乎全部是
伊拉克大使	伊拉【克】大使
我不上班了	我不上班【了】
摩托车司机	摩【托】車司機
退出娱乐圈	退【出】娛樂圈
抑制不住的	抑【制】不住的
的范围很广	的【範】圍很廣
没有说出口	沒有說【出】口
不可能同时	不可能【同】時
了这部电影	【了】這部電影
一系列国际	一【係】列國際
的后期制作	的【後】期【制】作
感觉回到了	感覺【回】到【了】
推出人民币	推【出】人民幣
沉不住气了	沉不住氣【了】
事故背后的	事故背【後】的
该机采用了	該機【採】用【了】
独家采访了	獨家【採】訪【了】
也没有特别	也沒有特【別】
我没有回答	我沒有【回】答
新生入学后	新生入學【後】
曲项向天歌	【曲】項【向】天歌
反复出现的	反【復】【出】現的
开发商进行	開【發】商進行
说穿了就是	說穿【了】就是
服务器机柜	服務器機【櫃】
倾向于认为	傾【向】於認爲
孩子长大后	孩子長大【後】
回去睡觉了	【回】去睡覺【了】
别让情两难	【別】讓情兩難
现在没有了	現在沒有【了】
很讨厌别人	很討厭【別】人
的当天晚上	的【當】天晚上
真是太美了	真是太美【了】
征地补偿款	【徵】地補償款
并没有感到	【並】沒有感到
女孩回到了	女孩【回】到【了】
剧情的发展	劇情的【發】展
这种风格的	這【種】風格的
数字数据网	數字數【據】網
发挥不稳定	【發】揮不穩定
然后你可以	然【後】你可以
我的邮箱里	我的郵箱【里】
闷声发大财	悶聲【發】大財
共同的朋友	共【同】的朋友
别生气了啊	【別】生氣【了】啊
一只巨大的	一【只】巨大的
得相当不错	得相【當】不錯
开始后不久	開始【後】不久
表现很出色	【表】現很【出】色
以后发生的	以【後】【發】生的
开征遗产税	開【徵】遺產稅
发挥建设性	【發】揮建設性
其中内蒙古	其中內【蒙】古
颤抖了一下	顫抖【了】一下
但尽管如此	但【盡】管如此
了这份感情	【了】這份感情
尽管俄罗斯	【盡】管俄羅斯
急得团团转	急得【團】【團】轉
万籁俱寂的	【萬】籟俱寂的
当然不排除	【當】然不排除
什么干什么	什麼【幹】什麼
出现在面前	【出】現在【面】前
才明白自己	【才】明白自己
才发觉自己	【才】【發】覺自己
第一个提出	第一個提【出】
可是当一个	可是【當】一個
日本共产党	日本共產【黨】
都控制不了	都控【制】不【了】
坐在地板上	坐在地【板】上
自己才知道	自己【才】知道
一种巨大的	一【種】巨大的
零部件采购	零部件【採】購
还兴致勃勃	還興【致】勃勃
日本民主党	日本民主【黨】
更是吸引了	更是吸引【了】
总政歌舞团	總政歌舞【團】
这种人叫做	這【種】人叫做
雄性荷尔蒙	雄性荷爾【蒙】
经调查发现	經調查【發】現
渺万里层云	渺【萬】【里】層【雲】
也没有别的	也沒有【別】的
关注的事情	關【注】的事情
然后慢慢地	然【後】慢慢地
几个小时就	【幾】個小時就
没时间玩了	沒時間玩【了】
一笑泯恩仇	一笑泯恩【仇】
但是没关系	但是沒關【係】
并没有带来	【並】沒有帶來
自己的精彩	自己的精【彩】
同样存在着	【同】樣存在著
向社会通报	【向】社會通報
理想而奋斗	理想而奮【鬭】
上演了一幕	上演【了】一幕
面对巨大的	【面】對巨大的
只言片语的	【只】言片語的
狠狠地瞪了	狠狠地瞪【了】
在观众面前	在觀眾【面】前
可以看出你	可以看【出】你
并肩作战的	【並】肩作戰的
演绎着不同	演繹著不【同】
目光转向了	目光轉【向】【了】
这里没有啊	這【里】沒有啊
将面临巨大	將【面】臨巨大
后逃离现场	【後】逃離現場
有一定几率	有一定【幾】率
又在玩游戏	又在玩【遊】戲
得到了爱情	得到【了】愛情
发布消息说	【發】【佈】消息說
获得消费者	【獲】得消費者
在当地医院	在【當】地醫院
无奈地表示	無奈地【表】示
游侠补丁网	【遊】俠補丁網
单板计算机	單【板】計算機
目前伊拉克	目前伊拉【克】
为自己喝彩	爲自己喝【彩】
不同性格的	不【同】性格的
即将公布的	即將公【佈】的
点钟的时候	點【鍾】的時候
不只是为了	不【只】是爲【了】
单方面宣布	單方【面】宣【佈】
了网络游戏	【了】網絡【遊】戲
小乔初嫁了	小喬初嫁【了】
这样分手了	這樣分手【了】
等你好久了	等你好久【了】
有艺术气质	有藝【術】氣質
还能干什么	還能【幹】什麼
这种错误的	這【種】錯誤的
铁路文工团	鐵路文工【團】
将在本周内	將在本【周】內
开发商可以	開【發】商可以
偶然发现了	偶然【發】現【了】
经过调查后	經過調查【後】
和家人团聚	和家人【團】聚
克林斯曼的	【克】林斯曼的
灵魂的寄托	靈魂的寄【托】
伊拉克国内	伊拉【克】國內
休息一下了	休息一下【了】
我想在这里	我想在這【里】
一种神秘的	一【種】神秘的
一种奇特的	一【種】奇特的
就可以玩了	就可以玩【了】
他们当中的	他們【當】中的
特定关系人	特定關【係】人
欧莱雅集团	歐萊雅集【團】
分钟就到了	分【鍾】就到【了】
伤透了脑筋	傷透【了】腦筋
出租汽车的	【出】租汽車的
专门进行了	專門進行【了】
克尔苏加德	【克】爾【蘇】加德
在弹出菜单	在彈【出】菜單
索尔兹伯里	索爾茲伯【里】
亲身经历了	親身經【歷】【了】
向左走还是	【向】左走還是
几乎全部的	【幾】乎全部的
今日公布了	今日公【佈】【了】
别人的丈夫	【別】人的丈夫
严师出高徒	嚴師【出】高徒
千里送鹅毛	【千】【里】送鵝毛
更准确地说	更【準】確地說
实行师范生	實行師【範】生
经历了高考	經【歷】【了】高考
丁丁历险记	丁丁【歷】險記
春来发几枝	春來【發】【幾】枝
显现出来了	顯現【出】來【了】
活出自己的	活【出】自己的
我现在发现	我現在【發】現
立即成立了	立即成立【了】
千万不能让	【千】【萬】不能讓
我的好友里	我的好友【里】
去年推出的	去年推【出】的
到了晚上我	到【了】晚上我
筛选出来的	篩選【出】來的
我又回来了	我又【回】來【了】
后面的数字	【後】【面】的數字
空空荡荡的	空空【蕩】【蕩】的
然而我错了	然而我錯【了】
并没有进行	【並】沒有進行
我并不喜欢	我【並】不喜歡
发行数量为	【發】行數量爲
我们开始了	我們開始【了】
组委会获悉	組委會【獲】悉
向中国出售	【向】中國【出】售
的豪情壮志	的豪情壯【志】
传出的消息	傳【出】的消息
的石油出口	的石油【出】口
斗智斗勇的	【鬭】智【鬭】勇的
