发表的	【發】【表】的
搞几个	搞【幾】個
并促使	【並】促使
抛到了	拋到【了】
征用的	【徵】用的
后来对	【後】來對
分布广	分【佈】廣
国出口	國【出】口
经商参	經商【參】
控制到	控【制】到
惯坏了	慣壞【了】
了中小	【了】中小
尸体和	【屍】體和
要外出	要外【出】
的冲洗	的【衝】洗
时推出	時推【出】
表现时	【表】現時
象征了	象【徵】【了】
向生活	【向】生活
里播放	【里】播放
变了心	變【了】心
煮开后	煮開【後】
总是向	總是【向】
只是上	【只】是上
在正面	在正【面】
当他对	【當】他對
客栈里	客棧【里】
并等待	【並】等待
联邦制	聯邦【制】
了青岛	【了】青島
并相互	【並】相互
之丰富	之【豐】富
剪切板	剪切【板】
才叫做	【才】叫做
向游人	【向】【遊】人
铁布衫	鐵【佈】衫
久游网	久【遊】網
也只想	也【只】想
出一颗	【出】一顆
秒钟就	秒【鍾】就
和若干	和若【幹】
意志是	意【志】是
来这种	來這【種】
我当即	我【當】即
然回首	然【回】首
学完了	學完【了】
周末和	【周】末和
的伤了	的傷【了】
地向他	地【向】他
团伙的	【團】【夥】的
地表的	地【表】的
投下了	投下【了】
七乐彩	七樂【彩】
了就得	【了】就得
了煤矿	【了】煤礦
要是出	要是【出】
学美术	學美【術】
要多出	要多【出】
那里人	那【里】人
先出来	先【出】來
愿意干	願意【幹】
了实话	【了】實話
易诱发	易誘【發】
坐了两	坐【了】兩
刚准备	剛【準】備
躲不了	躲不【了】
的烟囱	的【煙】囪
你吃了	你吃【了】
才是美	【才】是美
几个的	【幾】個的
请了两	請【了】兩
斗恶龙	【鬭】【惡】龍
了黄色	【了】黃色
开采业	開【採】業
了男性	【了】男性
与丰富	與【豐】富
全三卷	全三【捲】
坦白了	坦白【了】
周票房	【周】票房
亲自向	親自【向】
后就可	【後】就可
冒险了	冒險【了】
衰老了	衰老【了】
里遇见	【里】遇見
中了吧	中【了】吧
们发出	們【發】【出】
了内地	【了】內地
了和她	【了】和她
逗留了	逗留【了】
附加了	附加【了】
一贯制	一貫【制】
兴致的	興【致】的
的纤腰	的【纖】腰
家药店	家【藥】店
示范校	示【範】校
之后到	之【後】到
的课余	的課【餘】
并期待	【並】期待
某论坛	某論【壇】
感人了	感人【了】
认可后	認可【後】
飙升到	飆【升】到
做头发	做頭【發】
几个不	【幾】個不
和升华	和【升】華
粮集团	糧集【團】
是布什	是【佈】什
蒙古王	【蒙】古王
才能出	【才】能【出】
发展后	【發】展【後】
的仿制	的仿【制】
叶面肥	葉【面】肥
的发热	的【發】熱
心领了	心領【了】
发展同	【發】展【同】
股方面	股方【面】
的干旱	的【幹】旱
了毕竟	【了】畢竟
台面的	【臺】【面】的
橡胶板	橡膠【板】
整改后	整改【後】
当她在	【當】她在
越大了	越大【了】
取下了	取下【了】
他表面	他【表】【面】
支出为	支【出】爲
统治了	統治【了】
的梦里	的夢【里】
了你上	【了】你上
出去见	【出】去見
练到了	練到【了】
表现一	【表】現一
是事后	是事【後】
将出演	將【出】演
据一位	【據】一位
里的另	【里】的另
了昆明	【了】昆明
发少年	【發】少年
升起了	【升】起【了】
经常向	經常【向】
我拉了	我拉【了】
那是种	那是【種】
翻了个	翻【了】個
咬你了	咬你【了】
朱家军	【朱】家軍
地板砖	地【板】磚
时期里	時期【里】
冒犯了	冒犯【了】
而我只	而我【只】
里就会	【里】就會
发型和	【發】型和
上加了	上加【了】
白云下	白【雲】下
和丰田	和【豐】田
的发香	的【發】香
的打了	的打【了】
退步了	退步【了】
后我再	【後】我再
然后发	然【後】【發】
开始干	開始【幹】
发了两	【發】【了】兩
了业主	【了】業主
发之后	【發】之【後】
松懈的	【鬆】懈的
悲哀了	悲哀【了】
学术和	學【術】和
她当年	她【當】年
几遍了	【幾】遍【了】
了伏笔	【了】伏筆
一生里	一生【里】
千万种	【千】【萬】【種】
征集到	【徵】集到
转身后	轉身【後】
付出太	付【出】太
同期高	【同】期高
建筑商	建【築】商
的钱了	的錢【了】
以后常	以【後】常
三日后	三日【後】
复议法	【復】議法
只为我	【只】爲我
每当她	每【當】她
先推出	先推【出】
月全面	月全【面】
健忘症	健忘【症】
来面对	來【面】對
年后又	年【後】又
叫你了	叫你【了】
从当初	從【當】初
了一枚	【了】一枚
饼干的	餅【幹】的
了验证	【了】驗證
了飞行	【了】飛行
等复杂	等【復】雜
了用于	【了】用於
只要那	【只】要那
没了吗	沒【了】嗎
半夜才	半夜【才】
的发带	的【發】帶
又出去	又【出】去
别的车	【別】的車
在看台	在看【臺】
参加三	【參】加三
借用的	【借】用的
随后从	隨【後】從
看到后	看到【後】
故事后	故事【後】
后的上	【後】的上
酒馆里	酒館【里】
亮出来	亮【出】來
家族里	家族【里】
折旧费	【折】舊費
天理了	天理【了】
有种好	有【種】好
才把它	【才】把它
了教训	【了】教訓
僵硬了	【僵】硬【了】
孩子后	孩子【後】
到江苏	到江【蘇】
长征的	長【徵】的
个面子	個【面】子
当时李	【當】時李
打理了	打理【了】
同学到	【同】學到
入住了	入住【了】
追回的	追【回】的
干预和	【幹】預和
当笔者	【當】筆者
党派的	【黨】派的
并引进	【並】引進
才会使	【才】會使
自推出	自推【出】
了深远	【了】深遠
一之后	一之【後】
了各级	【了】各級
两千多	兩【千】多
困惑与	【困】惑與
开场后	開場【後】
锻炼人	鍛【煉】人
为限制	爲限【制】
幸好她	【幸】好她
攻占了	攻【佔】【了】
少了些	少【了】些
打针的	打【針】的
于黑暗	於黑【暗】
未露面	未露【面】
满了你	滿【了】你
与收获	與收【獲】
变样了	變樣【了】
个同时	個【同】時
他那了	他那【了】
后面来	【後】【面】來
获得比	【獲】得比
欲收购	【欲】收購
放松和	放【鬆】和
搭载了	搭載【了】
她周围	她【周】圍
了下文	【了】下文
学游泳	學【遊】泳
出一串	【出】一串
聚会了	聚會【了】
只是能	【只】是能
来征服	來【徵】服
模样了	模樣【了】
品种如	品【種】如
在见面	在見【面】
叫了他	叫【了】他
折磨死	【折】磨死
同事中	【同】事中
才能说	【才】能說
抢回来	搶【回】來
勇气向	勇氣【向】
年底了	年底【了】
不幸和	不【幸】和
过一只	過一【只】
的城里	的城【里】
九台市	九【臺】市
并停止	【並】停止
向税务	【向】稅務
长的并	長的【並】
幸好没	【幸】好沒
除了把	除【了】把
只达到	【只】達到
留出的	留【出】的
错了是	錯【了】是
被压制	被壓【制】
的后人	的【後】人
有人出	有人【出】
当工作	【當】工作
生涯里	生涯【里】
大发了	大【發】【了】
的恶人	的【惡】人
伤了他	傷【了】他
家里在	家【里】在
从水里	從水【里】
保险系	保險【係】
戴面具	戴【面】具
布拉斯	【佈】拉斯
的稻谷	的稻【谷】
个干部	個【幹】部
在录制	在錄【制】
或旅游	或旅【遊】
荷里活	荷【里】活
面也有	【面】也有
和回忆	和【回】憶
基准价	基【準】價
卖出的	賣【出】的
斗志和	【鬭】【志】和
了研讨	【了】研討
了保持	【了】保持
我签名	我【籖】名
党内外	【黨】內外
最后为	最【後】爲
们见面	們見【面】
找回了	找【回】【了】
这回的	這【回】的
释然了	釋然【了】
朋友后	朋友【後】
并合理	【並】合理
那忧郁	那憂【鬱】
才得知	【才】得知
你也同	你也【同】
了想要	【了】想要
线之后	線之【後】
我技术	我技【術】
并赢得	【並】贏得
及参加	及【參】加
欲望与	【欲】望與
后食用	【後】食用
后首先	【後】首先
就用了	就用【了】
下了没	下【了】沒
挡泥板	擋泥【板】
复合袋	【復】合袋
加了个	加【了】個
重点向	重點【向】
会游戏	會【遊】戲
了整合	【了】整合
的用了	的用【了】
刮大风	【刮】大風
夹杂了	夾雜【了】
要回归	要【回】歸
了两件	【了】兩件
了荷兰	【了】荷蘭
她用了	她用【了】
由当时	由【當】時
好想回	好想【回】
未参与	未【參】與
参与奖	【參】與獎
学历史	學【歷】史
发多少	【發】多少
开发办	開【發】辦
一台台	一【臺】【臺】
了让他	【了】讓他
将这里	將這【里】
都不干	都不【幹】
笑出声	笑【出】聲
的用药	的用【藥】
年网游	年網【遊】
欠下了	欠下【了】
才推出	【才】推【出】
勾引了	勾引【了】
了央行	【了】央行
不发展	不【發】展
里面要	【里】【面】要
没说出	沒說【出】
少见了	少見【了】
致使该	【致】使該
被揭发	被揭【發】
率先冲	率先【衝】
超计划	超計【劃】
而一向	而一【向】
农药等	農【藥】等
占全区	【佔】全區
成了两	成【了】兩
坏了吧	壞【了】吧
俘获了	俘【獲】【了】
过节了	過節【了】
未出台	未【出】【臺】
正当她	正【當】她
干预下	【幹】預下
地退出	地退【出】
跟了我	跟【了】我
突出对	突【出】對
发言后	【發】言【後】
的依托	的依【托】
后同样	【後】【同】樣
的后脑	的【後】腦
号里的	號【里】的
在当中	在【當】中
东升镇	東【升】鎮
苍白了	蒼白【了】
尽管两	【盡】管兩
布里克	【佈】【里】【克】
之后把	之【後】把
日历表	日【歷】【表】
累了我	纍【了】我
了伤心	【了】傷心
啊你别	啊你【別】
忍住了	忍住【了】
与同样	與【同】樣
答错了	答錯【了】
制止他	【制】止他
丰盈的	【豐】盈的
窗户里	窗戶【里】
不好当	不好【當】
顿了顿	頓【了】頓
干一行	【幹】一行
对的了	對的【了】
带上了	帶上【了】
布下了	【佈】下【了】
当他的	【當】他的
当哥哥	【當】哥哥
不只一	不【只】一
回来都	【回】來都
回落了	【回】落【了】
折服了	【折】服【了】
出独特	【出】獨特
分税制	分稅【制】
而扭曲	而扭【曲】
地位了	地位【了】
在研制	在研【制】
在背面	在背【面】
手指向	手指【向】
破裂后	破裂【後】
它发生	它【發】生
了三分	【了】三分
后悔过	【後】悔過
向哪个	【向】哪個
向行政	【向】行政
后面临	【後】【面】臨
又只有	又【只】有
人当作	人【當】作
了一班	【了】一班
即位后	即位【後】
里面吗	【里】【面】嗎
里不停	【里】不停
和饥饿	和【飢】餓
可能当	可能【當】
达产后	達產【後】
干得比	【幹】得比
买了菜	買【了】菜
试卷和	試【捲】和
你的云	你的【雲】
现转发	現轉【發】
几日的	【幾】日的
几次的	【幾】次的
洗头发	洗頭【發】
回去见	【回】去見
当身体	【當】身體
死了呢	死【了】呢
发现李	【發】現李
后予以	【後】予以
想回到	想【回】到
彩色版	【彩】色版
要的了	要的【了】
出他对	【出】他對
金钟民	金【鍾】民
的她只	的她【只】
别人买	【別】人買
形象了	形象【了】
听了会	聽【了】會
预言了	預言【了】
干脆在	【幹】脆在
孤单了	孤單【了】
不了钱	不【了】錢
并以其	【並】以其
向阳的	【向】陽的
并恢复	【並】恢【復】
们回家	們【回】家
手里面	手【里】【面】
那后果	那【後】果
出口也	【出】口也
向朝鲜	【向】朝鮮
我试了	我試【了】
解体后	解體【後】
个突出	個突【出】
要征服	要【徵】服
去发掘	去【發】掘
新闻里	新聞【里】
了降价	【了】降價
我暗恋	我【暗】戀
然后接	然【後】接
宝贝了	寶貝【了】
六公里	六公【里】
了评估	【了】評估
只手的	【只】手的
游戏去	【遊】戲去
地向你	地【向】你
亲戚在	親【戚】在
云南菜	【雲】南菜
查出的	查【出】的
参战的	【參】戰的
的丑态	的【醜】態
中看出	中看【出】
了怕了	【了】怕【了】
占美国	【佔】美國
的出差	的【出】差
和同行	和【同】行
跑几步	跑【幾】步
船出海	船【出】海
不露面	不露【面】
在几十	在【幾】十
我不发	我不【發】
表达一	【表】達一
周年而	【周】年而
明万历	明【萬】【歷】
据公司	【據】公司
了扩大	【了】擴大
合并在	合【並】在
骗人了	騙人【了】
吃药的	吃【藥】的
的纤细	的【纖】細
当她是	【當】她是
多画面	多畫【面】
了两万	【了】兩【萬】
尸体在	【屍】體在
了女子	【了】女子
挑明了	挑明【了】
情况了	情況【了】
了初中	【了】初中
我招了	我招【了】
借口了	【借】口【了】
宿舍我	宿【舍】我
我这回	我這【回】
快去了	快去【了】
同事看	【同】事看
那里很	那【里】很
咸味的	【咸】味的
股票后	股票【後】
但技术	但技【術】
污染后	污染【後】
她们只	她們【只】
快了点	快【了】點
的斗士	的【鬭】士
表现而	【表】現而
和蒙古	和【蒙】古
药剂科	【藥】劑科
有几人	有【幾】人
和体系	和體【係】
才起床	【才】起床
他加了	他加【了】
排到了	排到【了】
的才艺	的【才】藝
来了呀	來【了】呀
才学会	【才】學會
才有用	【才】有用
个标志	個標【志】
都用了	都用【了】
输了的	輸【了】的
个游客	個【遊】客
诉说了	訴說【了】
艺术美	藝【術】美
将依托	將依【托】
不卖了	不賣【了】
干活儿	【幹】活兒
我不舍	我不【舍】
画面里	畫【面】【里】
一只羊	一【只】羊
了长春	【了】長春
折磨你	【折】磨你
并吸引	【並】吸引
并在一	【並】在一
当我被	【當】我被
变了吧	變【了】吧
有回落	有【回】落
制冷机	【制】冷機
并适时	【並】適時
里浮现	【里】浮現
他打了	他打【了】
他想了	他想【了】
表演一	【表】演一
只要从	【只】要從
要一种	要一【種】
毒药的	毒【藥】的
在布什	在【佈】什
别的啊	【別】的啊
男孩向	男孩【向】
甚至向	甚至【向】
别人时	【別】人時
在布置	在【佈】置
共发现	共【發】現
游戏业	【遊】戲業
人认同	人認【同】
丢了两	丟【了】兩
要了他	要【了】他
了冰冷	【了】冰冷
后再看	【後】再看
你了啊	你【了】啊
了在说	【了】在說
后首度	【後】首度
向各地	【向】各地
占总量	【佔】總量
他在向	他在【向】
老鼠药	老鼠【藥】
拍了个	拍【了】個
而得出	而得【出】
是画面	是畫【面】
让当地	讓【當】地
明天了	明天【了】
成形术	成形【術】
克隆版	【克】隆版
不干预	不【幹】預
个志愿	個【志】願
出镜率	【出】鏡率
去过了	去過【了】
干吗还	【幹】嗎還
而获取	而【獲】取
请出来	請【出】來
游子的	【遊】子的
了这款	【了】這款
撑不了	撐不【了】
准备带	【準】備帶
要表演	要【表】演
们的了	們的【了】
里走了	【里】走【了】
激励了	激勵【了】
爱我了	愛我【了】
难度了	難度【了】
干的人	【幹】的人
了久违	【了】久違
向数字	【向】數字
的回想	的【回】想
力发展	力【發】展
才有点	【才】有點
拿了啊	拿【了】啊
向患者	【向】患者
好精彩	好精【彩】
业务后	業務【後】
了夏日	【了】夏日
盘面的	盤【面】的
云中岳	【雲】中岳
十几种	十【幾】【種】
有人了	有人【了】
周六晚	【周】六晚
上去后	上去【後】
上升一	上【升】一
了才是	【了】【才】是
归你了	歸你【了】
也随后	也隨【後】
广东台	廣東【臺】
只鸽子	【只】鴿子
出演了	【出】演【了】
找一种	找一【種】
了表情	【了】【表】情
发芽率	【發】芽率
当天是	【當】天是
团体第	【團】體第
精采的	精【採】的
就会向	就會【向】
倒地后	倒地【後】
等出口	等【出】口
一块了	一塊【了】
放了学	放【了】學
干休所	【幹】休所
等着了	等著【了】
心里挺	心【里】挺
为了打	爲【了】打
而是向	而是【向】
征战的	【徵】戰的
不知了	不知【了】
快下了	快下【了】
的甩了	的甩【了】
了军队	【了】軍隊
我亲戚	我親【戚】
发生第	【發】生第
同安区	【同】安區
点了点	點【了】點
考生须	考生【須】
挖掘了	挖掘【了】
的台灯	的【臺】燈
后备军	【後】備軍
卖出了	賣【出】【了】
了伊朗	【了】伊朗
其实当	其實【當】
小姐了	小姐【了】
我写了	我寫【了】
向现实	【向】現實
了严峻	【了】嚴峻
次系统	次【係】統
淡出了	淡【出】【了】
前几届	前【幾】屆
想做出	想做【出】
你用了	你用【了】
的汇兑	的【匯】兌
采购到	【採】購到
他随后	他隨【後】
制空权	【制】空權
才只有	【才】【只】有
而共同	而共【同】
有时只	有時【只】
回去一	【回】去一
期开出	期開【出】
吃定了	吃定【了】
随便发	隨便【發】
派出去	派【出】去
共发放	共【發】放
出相当	【出】相【當】
给你冲	給你【衝】
的水里	的水【里】
别笑了	【別】笑【了】
但是据	但是【據】
与药品	與【藥】品
出来去	【出】來去
她经历	她經【歷】
房事后	房事【後】
几十米	【幾】十米
上说了	上說【了】
都制定	都【制】定
梦一回	夢一【回】
最可恶	最可【惡】
回头却	【回】頭卻
说最后	說最【後】
了问卷	【了】問【捲】
面容上	【面】容上
定住了	定住【了】
增大了	增大【了】
定位了	定位【了】
松紧带	【鬆】緊帶
新词汇	新詞【匯】
人海里	人海【里】
的借贷	的【借】貸
地升起	地【升】起
了对你	【了】對你
黄岩区	黃【巖】區
跑哪里	跑哪【里】
了好处	【了】好處
人回应	人【回】應
为云南	爲【雲】南
了迎接	【了】迎接
了谁的	【了】誰的
裤兜里	褲兜【里】
和回报	和【回】報
就不准	就不【準】
压了下	壓【了】下
过上了	過上【了】
种子在	【種】子在
困难者	【困】難者
道当时	道【當】時
而出名	而【出】名
丰田车	【豐】田車
对他并	對他【並】
是参考	是【參】考
农民向	農民【向】
队出场	隊【出】場
别人很	【別】人很
大扫荡	大掃【蕩】
漫游的	漫【遊】的
书里面	書【里】【面】
了晚安	【了】晚安
擦了擦	擦【了】擦
掏出钱	掏【出】錢
向同一	【向】【同】一
蜡烛的	【蠟】燭的
打算回	打算【回】
的链子	的【鏈】子
号以后	號以【後】
发型的	【發】型的
表现给	【表】現給
了联想	【了】聯想
了联邦	【了】聯邦
因为别	因爲【別】
话筒里	話筒【里】
其余人	其【餘】人
喜欢当	喜歡【當】
也暗暗	也【暗】【暗】
准爸爸	【準】爸爸
好了哦	好【了】哦
不挨刀	不【挨】刀
回单位	【回】單位
没见了	沒見【了】
将适当	將適【當】
很有才	很有【才】
沈祥福	【瀋】祥福
出局了	【出】局【了】
改变后	改變【後】
不足千	不足【千】
旧情复	舊情【復】
别废话	【別】廢話
别喝了	【別】喝【了】
布什说	【佈】什說
大恶人	大【惡】人
暂停了	暫停【了】
但此后	但此【後】
代表王	代【表】王
宣布第	宣【佈】第
只上涨	【只】上漲
后来见	【後】來見
的面粉	的【面】粉
积淀的	積【澱】的
为主向	爲主【向】
莫干山	莫【幹】山
快忘了	快忘【了】
能锻炼	能鍛【煉】
来踩了	來踩【了】
了合适	【了】合適
了回报	【了】【回】報
没准儿	沒【準】兒
血管里	血管【里】
可救药	可救【藥】
的发动	的【發】動
的发卡	的【發】卡
他一只	他一【只】
春夏秋	春夏【秋】
他有种	他有【種】
处发现	處【發】現
多出的	多【出】的
为了跟	爲【了】跟
折腾人	【折】騰人
或别人	或【別】人
忍耐了	忍耐【了】
来回地	來【回】地
转回身	轉【回】身
了心脏	【了】心【髒】
了利益	【了】利益
是头发	是頭【發】
上发呆	上【發】呆
说出这	說【出】這
了简短	【了】簡短
幸福才	【幸】福【才】
抢走了	搶走【了】
改回来	改【回】來
了理性	【了】理性
继续当	繼續【當】
个幸福	個【幸】福
了大雨	【了】大雨
回广州	【回】廣州
游戏才	【遊】戲【才】
才好了	【才】好【了】
大致在	大【致】在
演化出	演化【出】
好受了	好受【了】
你你才	你你【才】
了邀请	【了】邀請
失恋后	失戀【後】
才不呢	【才】不呢
解释后	解釋【後】
的复出	的【復】【出】
嘴里就	嘴【里】就
戒烟了	戒【煙】【了】
社会后	社會【後】
朱总理	【朱】總理
发质的	【發】質的
历来的	【歷】來的
片子里	片子【里】
洗手台	洗手【臺】
那里那	那【里】那
借口不	【借】口不
而当我	而【當】我
别让你	【別】讓你
团圆的	【團】圓的
在收获	在收【獲】
的暗流	的【暗】流
才不能	【才】不能
那里坐	那【里】坐
灌注桩	灌【注】樁
了立法	【了】立法
一只大	一【只】大
准备写	【準】備寫
生长了	生長【了】
了车子	【了】車子
至周日	至【周】日
简朴的	簡【樸】的
去了哦	去【了】哦
并处于	【並】處於
了村里	【了】村【里】
了奋斗	【了】奮【鬭】
个分别	個分【別】
和康复	和康【復】
才来了	【才】來【了】
白云飘	白【雲】飄
你只需	你【只】需
那几年	那【幾】年
曾宣布	曾宣【佈】
报告表	報告【表】
案板上	案【板】上
的店里	的店【里】
要扎实	要【扎】實
有我了	有我【了】
该平台	該平【臺】
向丈夫	【向】丈夫
广告面	廣告【面】
占用率	【佔】用率
就根据	就根【據】
及地面	及地【面】
特表示	特【表】示
平定了	平定【了】
个版面	個版【面】
浮出了	浮【出】【了】
摆出了	【擺】【出】【了】
的八种	的八【種】
参保的	【參】保的
发大水	【發】大水
同学能	【同】學能
锻炼时	鍛【煉】時
她见面	她見【面】
这才能	這【才】能
面试我	【面】試我
升值对	【升】值對
几十人	【幾】十人
几十种	【幾】十【種】
了差错	【了】差錯
周旋在	【周】旋在
了网吧	【了】網吧
但每当	但每【當】
我报仇	我報【仇】
了小说	【了】小說
后要求	【後】要求
扩建后	擴建【後】
后的情	【後】的情
同时吃	【同】時吃
战之后	戰之【後】
太帅了	太帥【了】
准妈咪	【準】媽咪
都痛了	都痛【了】
甘落后	甘落【後】
泥土里	泥土【里】
了沙漠	【了】沙漠
她并非	她【並】非
军营里	軍營【里】
台子上	【臺】子上
那种为	那【種】爲
和面包	和【面】包
再准备	再【準】備
了会场	【了】會場
低谷的	低【谷】的
上千亿	上【千】億
接种的	接【種】的
向上拉	【向】上拉
几十元	【幾】十元
和放松	和放【鬆】
她做了	她做【了】
今生只	今生【只】
好几岁	好【幾】歲
后还能	【後】還能
地占据	地【佔】【據】
最后走	最【後】走
会收获	會收【獲】
日周五	日【周】五
又一只	又一【只】
在美术	在美【術】
了举报	【了】舉報
太丰富	太【豐】富
买来了	買來【了】
坐稳了	坐穩【了】
拍摄出	拍攝【出】
的人发	的人【發】
罗伯托	羅伯【托】
睡了个	睡【了】個
了联盟	【了】聯盟
关于向	關於【向】
打斗中	打【鬭】中
报废了	報廢【了】
发了吧	【發】【了】吧
的核准	的核【準】
频道里	頻道【里】
高潮了	高潮【了】
蒙嘉慧	【蒙】嘉慧
旅行了	旅行【了】
你得了	你得【了】
共和制	共和【制】
占同期	【佔】【同】期
望了我	望【了】我
开朗了	開朗【了】
百万分	百【萬】分
缺席了	缺席【了】
组织向	組織【向】
台左右	【臺】左右
再发现	再【發】現
弥漫了	彌漫【了】
而几乎	而【幾】乎
王国里	王國【里】
分布上	分【佈】上
尚志市	尚【志】市
并对此	【並】對此
专注在	專【注】在
才能令	【才】能令
干不成	【幹】不成
幢别墅	幢【別】墅
战斗了	戰【鬭】【了】
亲戚和	親【戚】和
水里游	水【里】【遊】
了财富	【了】財富
后才有	【後】【才】有
几元钱	【幾】元錢
月颁布	月頒【佈】
只会把	【只】會把
试卷中	試【捲】中
头发剪	頭【發】剪
她如同	她如【同】
富翁了	富翁【了】
表现则	【表】現則
当天我	【當】天我
征途中	【徵】途中
了你心	【了】你心
把一只	把一【只】
展出了	展【出】【了】
吵架后	吵架【後】
缓冲期	緩【衝】期
他尽量	他【盡】量
膨胀了	膨脹【了】
并且想	【並】且想
我丢了	我丟【了】
表演时	【表】演時
十多种	十多【種】
暂停后	暫停【後】
版网游	版網【遊】
组合了	組合【了】
也看出	也看【出】
愿意了	願意【了】
同一班	【同】一班
才过来	【才】過來
打来了	打來【了】
呈几何	呈【幾】何
万金油	【萬】金油
免签证	免【籖】證
规划修	規【劃】修
飙升的	飆【升】的
千里寻	【千】【里】尋
赚了个	賺【了】個
同时说	【同】時說
宿舍门	宿【舍】門
店铺里	店鋪【里】
部门里	部門【里】
提了一	提【了】一
性饥渴	性【飢】渴
做了的	做【了】的
哪里话	哪【里】話
考验了	考驗【了】
一圈才	一圈【才】
了结束	【了】結束
干衣机	【幹】衣機
并不觉	【並】不覺
给她了	給她【了】
不精彩	不精【彩】
界定了	界定【了】
最后跟	最【後】跟
华表示	華【表】示
打回来	打【回】來
精彩啊	精【彩】啊
周转量	【周】轉量
才是人	【才】是人
了心爱	【了】心愛
商议后	商議【後】
周长的	【周】長的
举报后	舉報【後】
爱乐团	愛樂【團】
会同样	會【同】樣
失灵了	失靈【了】
种股票	【種】股票
在面部	在【面】部
招募了	招募【了】
周年时	【周】年時
已经同	已經【同】
的后继	的【後】繼
的炸药	的炸【藥】
都要向	都要【向】
年艺术	年藝【術】
暗紫色	【暗】紫色
座桥梁	座橋【樑】
后继者	【後】繼者
眼光里	眼光【里】
摆到了	【擺】到【了】
大二了	大二【了】
认定后	認定【後】
到老了	到老【了】
新同事	新【同】事
几代人	【幾】代人
就只要	就【只】要
力方面	力方【面】
回想了	【回】想【了】
回了家	【回】【了】家
就发挥	就【發】揮
审查了	審查【了】
镀上了	鍍上【了】
出资者	【出】資者
了郑州	【了】鄭州
往复泵	往【復】泵
太阳了	太陽【了】
选择当	選擇【當】
性困惑	性【困】惑
中了吗	中【了】嗎
出现得	【出】現得
后结果	【後】結果
当兵的	【當】兵的
斯米克	斯米【克】
别胡说	【別】【胡】說
京沪穗	京滬【穗】
生育了	生育【了】
发给的	【發】給的
箭射向	箭射【向】
性经历	性經【歷】
了冬季	【了】【冬】季
鱼缸里	魚缸【里】
几时休	【幾】時休
回去做	【回】去做
都联系	都聯【係】
要出嫁	要【出】嫁
是放松	是放【鬆】
受死了	受死【了】
了石油	【了】石油
观景台	觀景【臺】
触到了	觸到【了】
去经历	去經【歷】
们回到	們【回】到
克莱尔	【克】萊爾
得了病	得【了】病
后勤的	【後】勤的
的外出	的外【出】
亲吻了	親吻【了】
学校发	學校【發】
一向的	一【向】的
只走到	【只】走到
上升而	上【升】而
都吃了	都吃【了】
近万名	近【萬】名
发售了	【發】售【了】
一种伤	一【種】傷
向人家	【向】人家
宿舍在	宿【舍】在
的行当	的行【當】
坚强了	堅強【了】
收买了	收買【了】
去年才	去年【才】
可只有	可【只】有
然后听	然【後】聽
测出来	測【出】來
的也只	的也【只】
里也会	【里】也會
部表情	部【表】情
布尔津	【佈】爾津
专家了	專家【了】
完了在	完【了】在
和表示	和【表】示
想当官	想【當】官
延迟了	延遲【了】
当中都	【當】中都
随后也	隨【後】也
杀了他	殺【了】他
长谷川	長【谷】川
把他当	把他【當】
跟家里	跟家【里】
来过了	來過【了】
了车辆	【了】車輛
后来和	【後】來和
人抓获	人抓【獲】
挨了打	【挨】【了】打
板块和	【板】塊和
对提升	對提【升】
尼克的	尼【克】的
笑面虎	笑【面】虎
有苹果	有【蘋】果
困难吗	【困】難嗎
都给了	都給【了】
出卖我	【出】賣我
概念了	概念【了】
拉升的	拉【升】的
了开头	【了】開頭
得付出	得付【出】
被蒙蔽	被【蒙】蔽
后都不	【後】都不
夸耀的	【誇】耀的
就吐了	就吐【了】
几百亿	【幾】百億
不放了	不放【了】
人烟的	人【煙】的
数十种	數十【種】
几点钟	【幾】點【鍾】
开拓出	開拓【出】
办不了	辦不【了】
河上游	河上【遊】
痛了我	痛【了】我
长了点	長【了】點
里有不	【里】有不
请了一	請【了】一
攒够了	攢夠【了】
当再次	【當】再次
反悔了	反悔【了】
从周五	從【周】五
读心术	讀心【術】
暗物质	【暗】物質
你这回	你這【回】
此后我	此【後】我
了机场	【了】機場
然后开	然【後】開
和方针	和方【針】
件幸福	件【幸】福
签约时	【籖】約時
魔术的	魔【術】的
兑现了	兌現【了】
永远别	永遠【別】
游公司	【遊】公司
全台湾	全【臺】灣
模拟出	模擬【出】
只鸭子	【只】鴨子
才应该	【才】應該
给游客	給【遊】客
星集团	星集【團】
只想在	【只】想在
分别达	分【別】達
将尝试	將【嘗】試
生命只	生命【只】
辞退了	辭退【了】
告知了	告知【了】
的人参	的人【參】
触发了	觸【發】【了】
中苏醒	中【蘇】醒
绝种了	絕【種】【了】
并列为	【並】列爲
小苏打	小【蘇】打
又丢了	又丟【了】
了富有	【了】富有
撞伤了	撞傷【了】
的出走	的【出】走
制药的	【制】【藥】的
水冲洗	水【衝】洗
回南京	【回】南京
几万人	【幾】【萬】人
威胁了	威脅【了】
参观时	【參】觀時
我妈了	我媽【了】
几乎快	【幾】乎快
帮里的	幫【里】的
颁给了	頒給【了】
船只的	船【只】的
对规范	對規【範】
了五百	【了】五百
电流表	電流【表】
院系的	院【係】的
你听了	你聽【了】
发表第	【發】【表】第
后展开	【後】展開
其尽快	其【盡】快
你吃几	你吃【幾】
吃力了	吃力【了】
心软了	心軟【了】
回答过	【回】答過
是全党	是全【黨】
年出台	年【出】【臺】
